parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/arts1500/arts1500.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	9272	19	1190	7496	587	1190	-22.20677	-inf	-23.00582
5.00000	1.00000	10	0.10000	1	9532	19	1276	7625	632	1276	-21.80976	-inf	-24.63686
5.00000	1.00000	10	0.10000	2	9172	21	1227	7339	607	1227	-22.15312	-inf	-22.97600
5.00000	1.00000	10	0.10000	3	9087	21	1242	7231	615	1242	-21.97169	-inf	-24.04829
5.00000	1.00000	10	0.10000	4	9146	21	1189	7372	586	1189	-21.82230	-inf	-24.60592
5.00000	1.00000	10	0.20000	0	9272	19	1190	7496	587	1190	-22.21800	-inf	-22.89019
5.00000	1.00000	10	0.20000	1	9532	19	1276	7625	632	1276	-21.82496	-inf	-24.49528
5.00000	1.00000	10	0.20000	2	9172	21	1227	7339	607	1227	-22.16064	-inf	-22.84352
5.00000	1.00000	10	0.20000	3	9087	21	1242	7231	615	1242	-21.97932	-inf	-23.91636
5.00000	1.00000	10	0.20000	4	9146	21	1189	7372	586	1189	-21.83126	-inf	-24.46037
5.00000	1.00000	10	0.50000	0	9272	19	1190	7496	587	1190	-22.29136	-inf	-22.76971
5.00000	1.00000	10	0.50000	1	9532	19	1276	7625	632	1276	-21.90588	-inf	-24.34606
5.00000	1.00000	10	0.50000	2	9172	21	1227	7339	607	1227	-22.22285	-inf	-22.69932
5.00000	1.00000	10	0.50000	3	9087	21	1242	7231	615	1242	-22.03963	-inf	-23.76724
5.00000	1.00000	10	0.50000	4	9146	21	1189	7372	586	1189	-21.89699	-inf	-24.29986
5.00000	1.00000	10	1.00000	0	9272	19	1190	7496	587	1190	-22.45615	-inf	-22.75931
5.00000	1.00000	10	1.00000	1	9532	19	1276	7625	632	1276	-22.07945	-inf	-24.32791
5.00000	1.00000	10	1.00000	2	9172	21	1227	7339	607	1227	-22.37002	-inf	-22.67038
5.00000	1.00000	10	1.00000	3	9087	21	1242	7231	615	1242	-22.18282	-inf	-23.72756
5.00000	1.00000	10	1.00000	4	9146	21	1189	7372	586	1189	-22.05020	-inf	-24.25972
5.00000	1.00000	10	2.00000	0	9272	19	1190	7496	587	1190	-22.82496	-inf	-22.90398
5.00000	1.00000	10	2.00000	1	9532	19	1276	7625	632	1276	-22.46090	-inf	-24.50050
5.00000	1.00000	10	2.00000	2	9172	21	1227	7339	607	1227	-22.70829	-inf	-22.80810
5.00000	1.00000	10	2.00000	3	9087	21	1242	7231	615	1242	-22.51241	-inf	-23.85020
5.00000	1.00000	10	2.00000	4	9146	21	1189	7372	586	1189	-22.40299	-inf	-24.40118
5.00000	1.00000	50	0.10000	0	8478	19	961	7040	478	961	-22.42026	-inf	-22.95391
5.00000	1.00000	50	0.10000	1	8692	19	1025	7159	509	1025	-22.07095	-inf	-24.65414
5.00000	1.00000	50	0.10000	2	8242	21	939	6835	469	939	-22.41642	-inf	-23.02535
5.00000	1.00000	50	0.10000	3	8392	19	1028	6853	512	1028	-22.18035	-inf	-24.00654
5.00000	1.00000	50	0.10000	4	8483	19	960	7047	477	960	-22.11244	-inf	-24.70950
5.00000	1.00000	50	0.20000	0	8478	19	961	7040	478	961	-22.42471	-inf	-22.85802
5.00000	1.00000	50	0.20000	1	8692	19	1025	7159	509	1025	-22.08018	-inf	-24.53907
5.00000	1.00000	50	0.20000	2	8242	21	939	6835	469	939	-22.41498	-inf	-22.91485
5.00000	1.00000	50	0.20000	3	8392	19	1028	6853	512	1028	-22.18335	-inf	-23.89020
5.00000	1.00000	50	0.20000	4	8483	19	960	7047	477	960	-22.11767	-inf	-24.58160
5.00000	1.00000	50	0.50000	0	8478	19	961	7040	478	961	-22.48073	-inf	-22.76084
5.00000	1.00000	50	0.50000	1	8692	19	1025	7159	509	1025	-22.14465	-inf	-24.42145
5.00000	1.00000	50	0.50000	2	8242	21	939	6835	469	939	-22.45513	-inf	-22.79071
5.00000	1.00000	50	0.50000	3	8392	19	1028	6853	512	1028	-22.23024	-inf	-23.75997
5.00000	1.00000	50	0.50000	4	8483	19	960	7047	477	960	-22.17587	-inf	-24.44382
5.00000	1.00000	50	1.00000	0	8478	19	961	7040	478	961	-22.62135	-inf	-22.76131
5.00000	1.00000	50	1.00000	1	8692	19	1025	7159	509	1025	-22.29265	-inf	-24.41527
5.00000	1.00000	50	1.00000	2	8242	21	939	6835	469	939	-22.57290	-inf	-22.76270
5.00000	1.00000	50	1.00000	3	8392	19	1028	6853	512	1028	-22.35247	-inf	-23.73322
5.00000	1.00000	50	1.00000	4	8483	19	960	7047	477	960	-22.31831	-inf	-24.42009
