parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/business1500/business1500.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	8782	25	1078	7176	529	1078	-16.61476	-inf	-17.18250
5.00000	1.00000	10	0.10000	1	8349	21	1021	6825	504	1021	-16.48203	-inf	-17.69831
5.00000	1.00000	10	0.10000	2	8434	23	1014	6921	500	1014	-16.32148	-inf	-18.36104
5.00000	1.00000	10	0.10000	3	8850	23	1088	7230	533	1088	-16.69557	-inf	-16.74714
5.00000	1.00000	10	0.10000	4	8433	25	969	6993	472	969	-16.52562	-inf	-17.74939
5.00000	1.00000	10	0.20000	0	8782	25	1078	7176	529	1078	-16.63092	-inf	-17.12820
5.00000	1.00000	10	0.20000	1	8349	21	1021	6825	504	1021	-16.49662	-inf	-17.63511
5.00000	1.00000	10	0.20000	2	8434	23	1014	6921	500	1014	-16.33955	-inf	-18.28735
5.00000	1.00000	10	0.20000	3	8850	23	1088	7230	533	1088	-16.71319	-inf	-16.70613
5.00000	1.00000	10	0.20000	4	8433	25	969	6993	472	969	-16.54159	-inf	-17.68015
5.00000	1.00000	10	0.50000	0	8782	25	1078	7176	529	1078	-16.69766	-inf	-17.09389
5.00000	1.00000	10	0.50000	1	8349	21	1021	6825	504	1021	-16.55907	-inf	-17.58451
5.00000	1.00000	10	0.50000	2	8434	23	1014	6921	500	1014	-16.40982	-inf	-18.22489
5.00000	1.00000	10	0.50000	3	8850	23	1088	7230	533	1088	-16.78329	-inf	-16.67803
5.00000	1.00000	10	0.50000	4	8433	25	969	6993	472	969	-16.60783	-inf	-17.62297
5.00000	1.00000	10	1.00000	0	8782	25	1078	7176	529	1078	-16.82573	-inf	-17.13954
5.00000	1.00000	10	1.00000	1	8349	21	1021	6825	504	1021	-16.68072	-inf	-17.61326
