parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/cal500/cal500.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	258	7	31	213	15	31	-6.23630	-inf	-6.45888
5.00000	1.00000	10	0.10000	1	251	7	32	204	16	32	-5.97587	-inf	-7.66238
5.00000	1.00000	10	0.10000	2	293	7	28	252	14	28	-6.11713	-inf	-7.07177
5.00000	1.00000	10	0.10000	3	254	7	26	216	13	26	-6.12134	-inf	-7.84784
5.00000	1.00000	10	0.10000	4	259	7	31	214	15	31	-6.22113	-inf	-6.24867
5.00000	1.00000	10	0.20000	0	258	7	31	213	15	31	-6.24522	-inf	-6.37969
5.00000	1.00000	10	0.20000	1	251	7	32	204	16	32	-5.98480	-inf	-7.57318
5.00000	1.00000	10	0.20000	2	293	7	28	252	14	28	-6.13050	-inf	-6.96724
5.00000	1.00000	10	0.20000	3	254	7	26	216	13	26	-6.12869	-inf	-7.73671
5.00000	1.00000	10	0.20000	4	259	7	31	214	15	31	-6.22868	-inf	-6.22553
5.00000	1.00000	10	0.50000	0	258	7	31	213	15	31	-6.28351	-inf	-6.30403
5.00000	1.00000	10	0.50000	1	251	7	32	204	16	32	-6.02620	-inf	-7.48592
5.00000	1.00000	10	0.50000	2	293	7	28	252	14	28	-6.18519	-inf	-6.84365
5.00000	1.00000	10	0.50000	3	254	7	26	216	13	26	-6.16167	-inf	-7.60186
5.00000	1.00000	10	0.50000	4	259	7	31	214	15	31	-6.26644	-inf	-6.20303
5.00000	1.00000	10	1.00000	0	258	7	31	213	15	31	-6.35800	-inf	-6.29410
5.00000	1.00000	10	1.00000	1	251	7	32	204	16	32	-6.10759	-inf	-7.47546
5.00000	1.00000	10	1.00000	2	293	7	28	252	14	28	-6.28721	-inf	-6.79598
5.00000	1.00000	10	1.00000	3	254	7	26	216	13	26	-6.22587	-inf	-7.52938
5.00000	1.00000	10	1.00000	4	259	7	31	214	15	31	-6.34380	-inf	-6.21224
5.00000	1.00000	10	2.00000	0	258	7	31	213	15	31	-6.51535	-inf	-6.35851
5.00000	1.00000	10	2.00000	1	251	7	32	204	16	32	-6.27693	-inf	-7.56354
5.00000	1.00000	10	2.00000	2	293	7	28	252	14	28	-6.49269	-inf	-6.85428
5.00000	1.00000	10	2.00000	3	254	7	26	216	13	26	-6.36129	-inf	-7.52107
5.00000	1.00000	10	2.00000	4	259	7	31	214	15	31	-6.50963	-inf	-6.28523
5.00000	1.00000	50	0.10000	0	248	7	27	209	13	27	-6.26765	-inf	-6.43315
5.00000	1.00000	50	0.10000	1	246	7	30	202	15	30	-6.00227	-inf	-7.63853
5.00000	1.00000	50	0.10000	2	247	7	20	218	10	20	-6.63037	-inf	-7.01248
5.00000	1.00000	50	0.10000	3	213	7	18	187	9	18	-6.49267	-inf	-8.37778
5.00000	1.00000	50	0.10000	4	254	7	29	212	14	29	-6.23327	-inf	-6.24357
5.00000	1.00000	50	0.20000	0	248	7	27	209	13	27	-6.27687	-inf	-6.36083
5.00000	1.00000	50	0.20000	1	246	7	30	202	15	30	-6.01000	-inf	-7.55134
5.00000	1.00000	50	0.20000	2	247	7	20	218	10	20	-6.63027	-inf	-6.93909
5.00000	1.00000	50	0.20000	3	213	7	18	187	9	18	-6.48525	-inf	-8.27973
5.00000	1.00000	50	0.20000	4	254	7	29	212	14	29	-6.24044	-inf	-6.22066
5.00000	1.00000	50	0.50000	0	248	7	27	209	13	27	-6.31409	-inf	-6.29384
5.00000	1.00000	50	0.50000	1	246	7	30	202	15	30	-6.04871	-inf	-7.46851
5.00000	1.00000	50	0.50000	2	247	7	20	218	10	20	-6.64916	-inf	-6.84996
5.00000	1.00000	50	0.50000	3	213	7	18	187	9	18	-6.48359	-inf	-8.13250
5.00000	1.00000	50	0.50000	4	254	7	29	212	14	29	-6.27714	-inf	-6.19875
5.00000	1.00000	50	1.00000	0	248	7	27	209	13	27	-6.38522	-inf	-6.28921
5.00000	1.00000	50	1.00000	1	246	7	30	202	15	30	-6.12636	-inf	-7.46274
5.00000	1.00000	50	1.00000	2	247	7	20	218	10	20	-6.70064	-inf	-6.81878
5.00000	1.00000	50	1.00000	3	213	7	18	187	9	18	-6.50722	-inf	-8.02174
5.00000	1.00000	50	1.00000	4	254	7	29	212	14	29	-6.35295	-inf	-6.20870
5.00000	1.00000	50	2.00000	0	248	7	27	209	13	27	-6.53609	-inf	-6.35705
5.00000	1.00000	50	2.00000	1	246	7	30	202	15	30	-6.28967	-inf	-7.55588
5.00000	1.00000	50	2.00000	2	247	7	20	218	10	20	-6.83262	-inf	-6.88107
5.00000	1.00000	50	2.00000	3	213	7	18	187	9	18	-6.59058	-inf	-7.94692
5.00000	1.00000	50	2.00000	4	254	7	29	212	14	29	-6.51643	-inf	-6.28271
5.00000	1.00000	100	0.10000	0	178	5	14	158	7	14	-6.83113	-inf	-6.80667
5.00000	1.00000	100	0.10000	1	164	7	10	150	5	10	-6.55907	-inf	-8.17485
5.00000	1.00000	100	0.10000	2	212	7	8	201	4	8	-6.79866	-inf	-7.02514
5.00000	1.00000	100	0.10000	3	194	7	12	177	6	12	-6.60233	-inf	-8.35463
5.00000	1.00000	100	0.10000	4	156	5	8	145	4	8	-7.05705	-inf	-6.55586
5.00000	1.00000	100	0.20000	0	178	5	14	158	7	14	-6.81990	-inf	-6.76322
5.00000	1.00000	100	0.20000	1	164	7	10	150	5	10	-6.54862	-inf	-8.10618
5.00000	1.00000	100	0.20000	2	212	7	8	201	4	8	-6.79460	-inf	-6.96197
5.00000	1.00000	100	0.20000	3	194	7	12	177	6	12	-6.59291	-inf	-8.26431
5.00000	1.00000	100	0.20000	4	156	5	8	145	4	8	-7.04357	-inf	-6.51496
5.00000	1.00000	100	0.50000	0	178	5	14	158	7	14	-6.81387	-inf	-6.70431
5.00000	1.00000	100	0.50000	1	164	7	10	150	5	10	-6.54827	-inf	-8.02490
5.00000	1.00000	100	0.50000	2	212	7	8	201	4	8	-6.80265	-inf	-6.88760
5.00000	1.00000	100	0.50000	3	194	7	12	177	6	12	-6.58769	-inf	-8.12942
5.00000	1.00000	100	0.50000	4	156	5	8	145	4	8	-7.03470	-inf	-6.46302
5.00000	1.00000	100	1.00000	0	178	5	14	158	7	14	-6.83303	-inf	-6.67182
5.00000	1.00000	100	1.00000	1	164	7	10	150	5	10	-6.57670	-inf	-7.98920
5.00000	1.00000	100	1.00000	2	212	7	8	201	4	8	-6.84059	-inf	-6.86791
5.00000	1.00000	100	1.00000	3	194	7	12	177	6	12	-6.60612	-inf	-8.02785
5.00000	1.00000	100	1.00000	4	156	5	8	145	4	8	-7.05057	-inf	-6.44243
5.00000	1.00000	100	2.00000	0	178	5	14	158	7	14	-6.91088	-inf	-6.67835
5.00000	1.00000	100	2.00000	1	164	7	10	150	5	10	-6.66778	-inf	-8.01161
5.00000	1.00000	100	2.00000	2	212	7	8	201	4	8	-6.95149	-inf	-6.93736
5.00000	1.00000	100	2.00000	3	194	7	12	177	6	12	-6.67928	-inf	-7.96021
5.00000	1.00000	100	2.00000	4	156	5	8	145	4	8	-7.12068	-inf	-6.47837
5.00000	1.00000	500	0.10000	0	68	2	0	68	0	1	-7.99609	-inf	-7.39964
5.00000	1.00000	500	0.10000	1	68	2	0	68	0	1	-7.58847	-inf	-9.02596
5.00000	1.00000	500	0.10000	2	68	2	0	68	0	1	-7.96647	-inf	-7.49949
5.00000	1.00000	500	0.10000	3	68	2	0	68	0	1	-7.57395	-inf	-9.10643
5.00000	1.00000	500	0.10000	4	68	2	0	68	0	1	-8.10652	-inf	-6.96398
5.00000	1.00000	500	0.20000	0	68	2	0	68	0	1	-7.99659	-inf	-7.39947
5.00000	1.00000	500	0.20000	1	68	2	0	68	0	1	-7.58903	-inf	-9.01757
5.00000	1.00000	500	0.20000	2	68	2	0	68	0	1	-7.96695	-inf	-7.50059
5.00000	1.00000	500	0.20000	3	68	2	0	68	0	1	-7.57471	-inf	-9.09247
5.00000	1.00000	500	0.20000	4	68	2	0	68	0	1	-8.10700	-inf	-6.96645
5.00000	1.00000	500	0.50000	0	68	2	0	68	0	1	-7.99989	-inf	-7.40115
5.00000	1.00000	500	0.50000	1	68	2	0	68	0	1	-7.59268	-inf	-8.99681
5.00000	1.00000	500	0.50000	2	68	2	0	68	0	1	-7.97009	-inf	-7.50590
5.00000	1.00000	500	0.50000	3	68	2	0	68	0	1	-7.57881	-inf	-9.06569
5.00000	1.00000	500	0.50000	4	68	2	0	68	0	1	-8.11010	-inf	-6.97596
5.00000	1.00000	500	1.00000	0	68	2	0	68	0	1	-8.01036	-inf	-7.41004
5.00000	1.00000	500	1.00000	1	68	2	0	68	0	1	-7.60410	-inf	-8.97356
5.00000	1.00000	500	1.00000	2	68	2	0	68	0	1	-7.98011	-inf	-7.52017
5.00000	1.00000	500	1.00000	3	68	2	0	68	0	1	-7.59071	-inf	-9.03881
5.00000	1.00000	500	1.00000	4	68	2	0	68	0	1	-8.12002	-inf	-6.99735
5.00000	1.00000	500	2.00000	0	68	2	0	68	0	1	-8.04537	-inf	-7.44455
5.00000	1.00000	500	2.00000	1	68	2	0	68	0	1	-7.64161	-inf	-8.95572
5.00000	1.00000	500	2.00000	2	68	2	0	68	0	1	-8.01387	-inf	-7.56302
5.00000	1.00000	500	2.00000	3	68	2	0	68	0	1	-7.62871	-inf	-9.01720
5.00000	1.00000	500	2.00000	4	68	2	0	68	0	1	-8.15335	-inf	-7.05418
10.00000	1.00000	10	0.10000	0	158	5	10	144	5	10	-6.87930	-inf	-6.92735
10.00000	1.00000	10	0.10000	1	149	5	6	141	3	6	-6.62416	-inf	-8.08811
10.00000	1.00000	10	0.10000	2	187	5	16	164	8	16	-6.61869	-inf	-6.93578
10.00000	1.00000	10	0.10000	3	171	7	12	154	6	12	-6.73444	-inf	-8.28969
10.00000	1.00000	10	0.10000	4	167	5	10	153	5	10	-6.76310	-inf	-6.37721
10.00000	1.00000	10	0.20000	0	158	5	10	144	5	10	-6.86951	-inf	-6.88414
10.00000	1.00000	10	0.20000	1	149	5	6	141	3	6	-6.61545	-inf	-8.03841
10.00000	1.00000	10	0.20000	2	187	5	16	164	8	16	-6.61004	-inf	-6.87349
10.00000	1.00000	10	0.20000	3	171	7	12	154	6	12	-6.72963	-inf	-8.21102
10.00000	1.00000	10	0.20000	4	167	5	10	153	5	10	-6.75936	-inf	-6.34196
10.00000	1.00000	10	0.50000	0	158	5	10	144	5	10	-6.87102	-inf	-6.82348
10.00000	1.00000	10	0.50000	1	149	5	6	141	3	6	-6.61566	-inf	-7.98112
10.00000	1.00000	10	0.50000	2	187	5	16	164	8	16	-6.61729	-inf	-6.80473
10.00000	1.00000	10	0.50000	3	171	7	12	154	6	12	-6.72678	-inf	-8.09013
10.00000	1.00000	10	0.50000	4	167	5	10	153	5	10	-6.77426	-inf	-6.30388
10.00000	1.00000	10	1.00000	0	158	5	10	144	5	10	-6.90333	-inf	-6.78583
10.00000	1.00000	10	1.00000	1	149	5	6	141	3	6	-6.64256	-inf	-7.96292
10.00000	1.00000	10	1.00000	2	187	5	16	164	8	16	-6.65548	-inf	-6.78411
10.00000	1.00000	10	1.00000	3	171	7	12	154	6	12	-6.73731	-inf	-7.99290
10.00000	1.00000	10	1.00000	4	167	5	10	153	5	10	-6.82253	-inf	-6.30365
10.00000	1.00000	10	2.00000	0	158	5	10	144	5	10	-7.00237	-inf	-6.78694
10.00000	1.00000	10	2.00000	1	149	5	6	141	3	6	-6.72930	-inf	-8.00560
10.00000	1.00000	10	2.00000	2	187	5	16	164	8	16	-6.75551	-inf	-6.83550
10.00000	1.00000	10	2.00000	3	171	7	12	154	6	12	-6.79134	-inf	-7.92143
10.00000	1.00000	10	2.00000	4	167	5	10	153	5	10	-6.94170	-inf	-6.37203
10.00000	1.00000	50	0.10000	0	158	5	10	144	5	10	-6.87930	-inf	-6.92735
10.00000	1.00000	50	0.10000	1	149	5	6	141	3	6	-6.62416	-inf	-8.08811
10.00000	1.00000	50	0.10000	2	171	5	14	151	7	14	-6.89755	-inf	-6.92576
10.00000	1.00000	50	0.10000	3	171	7	12	154	6	12	-6.73444	-inf	-8.28969
10.00000	1.00000	50	0.10000	4	167	5	10	153	5	10	-6.76310	-inf	-6.37721
10.00000	1.00000	50	0.20000	0	158	5	10	144	5	10	-6.86951	-inf	-6.88414
10.00000	1.00000	50	0.20000	1	149	5	6	141	3	6	-6.61545	-inf	-8.03841
10.00000	1.00000	50	0.20000	2	171	5	14	151	7	14	-6.88312	-inf	-6.88198
10.00000	1.00000	50	0.20000	3	171	7	12	154	6	12	-6.72963	-inf	-8.21102
10.00000	1.00000	50	0.20000	4	167	5	10	153	5	10	-6.75936	-inf	-6.34196
10.00000	1.00000	50	0.50000	0	158	5	10	144	5	10	-6.87102	-inf	-6.82348
10.00000	1.00000	50	0.50000	1	149	5	6	141	3	6	-6.61566	-inf	-7.98112
10.00000	1.00000	50	0.50000	2	171	5	14	151	7	14	-6.87159	-inf	-6.83360
10.00000	1.00000	50	0.50000	3	171	7	12	154	6	12	-6.72678	-inf	-8.09013
10.00000	1.00000	50	0.50000	4	167	5	10	153	5	10	-6.77426	-inf	-6.30388
10.00000	1.00000	50	1.00000	0	158	5	10	144	5	10	-6.90333	-inf	-6.78583
10.00000	1.00000	50	1.00000	1	149	5	6	141	3	6	-6.64256	-inf	-7.96292
10.00000	1.00000	50	1.00000	2	171	5	14	151	7	14	-6.88257	-inf	-6.82354
10.00000	1.00000	50	1.00000	3	171	7	12	154	6	12	-6.73731	-inf	-7.99290
10.00000	1.00000	50	1.00000	4	167	5	10	153	5	10	-6.82253	-inf	-6.30365
10.00000	1.00000	50	2.00000	0	158	5	10	144	5	10	-7.00237	-inf	-6.78694
10.00000	1.00000	50	2.00000	1	149	5	6	141	3	6	-6.72930	-inf	-8.00560
