parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/emotions/emotions.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	989	13	180	720	90	180	-23.21615	-inf	-25.27701
5.00000	1.00000	10	0.10000	1	1043	13	190	759	95	190	-22.98377	-inf	-26.51038
5.00000	1.00000	10	0.10000	2	967	13	163	724	81	163	-23.24661	-inf	-26.31811
5.00000	1.00000	10	0.10000	3	945	13	159	708	79	159	-23.14219	-inf	-25.46579
5.00000	1.00000	10	0.10000	4	985	15	183	712	91	183	-23.47845	-inf	-24.73980
5.00000	1.00000	10	0.20000	0	989	13	180	720	90	180	-23.23511	-inf	-25.08221
5.00000	1.00000	10	0.20000	1	1043	13	190	759	95	190	-23.00064	-inf	-26.32225
5.00000	1.00000	10	0.20000	2	967	13	163	724	81	163	-23.25894	-inf	-26.18286
5.00000	1.00000	10	0.20000	3	945	13	159	708	79	159	-23.16228	-inf	-25.32549
5.00000	1.00000	10	0.20000	4	985	15	183	712	91	183	-23.48993	-inf	-24.60684
5.00000	1.00000	10	0.50000	0	989	13	180	720	90	180	-23.31791	-inf	-24.83347
5.00000	1.00000	10	0.50000	1	1043	13	190	759	95	190	-23.08043	-inf	-26.07202
5.00000	1.00000	10	0.50000	2	967	13	163	724	81	163	-23.32960	-inf	-26.01749
5.00000	1.00000	10	0.50000	3	945	13	159	708	79	159	-23.24712	-inf	-25.13901
5.00000	1.00000	10	0.50000	4	985	15	183	712	91	183	-23.55860	-inf	-24.46158
5.00000	1.00000	10	1.00000	0	989	13	180	720	90	180	-23.48981	-inf	-24.70689
5.00000	1.00000	10	1.00000	1	1043	13	190	759	95	190	-23.24941	-inf	-25.93897
5.00000	1.00000	10	1.00000	2	967	13	163	724	81	163	-23.48779	-inf	-25.95428
5.00000	1.00000	10	1.00000	3	945	13	159	708	79	159	-23.42052	-inf	-25.05087
5.00000	1.00000	10	1.00000	4	985	15	183	712	91	183	-23.71464	-inf	-24.44050
5.00000	1.00000	10	2.00000	0	989	13	180	720	90	180	-23.87094	-inf	-24.75556
5.00000	1.00000	10	2.00000	1	1043	13	190	759	95	190	-23.62795	-inf	-25.96619
5.00000	1.00000	10	2.00000	2	967	13	163	724	81	163	-23.84959	-inf	-26.04529
5.00000	1.00000	10	2.00000	3	945	13	159	708	79	159	-23.80483	-inf	-25.12310
5.00000	1.00000	10	2.00000	4	985	15	183	712	91	183	-24.07129	-inf	-24.61503
5.00000	1.00000	50	0.10000	0	709	11	88	578	44	88	-24.39641	-inf	-25.59968
