parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/flags/flags.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	71	7	12	54	6	12	-7.07626	-inf	-7.24008
5.00000	1.00000	10	0.10000	1	80	7	16	57	8	16	-7.12464	-inf	-7.05058
5.00000	1.00000	10	0.10000	2	74	7	14	54	7	14	-6.93961	-inf	-7.60219
5.00000	1.00000	10	0.10000	3	75	7	14	55	7	14	-6.98506	-inf	-7.54894
5.00000	1.00000	10	0.10000	4	70	7	12	53	6	12	-7.08959	-inf	-7.58549
5.00000	1.00000	10	0.20000	0	71	7	12	54	6	12	-7.07917	-inf	-7.24428
5.00000	1.00000	10	0.20000	1	80	7	16	57	8	16	-7.12721	-inf	-7.05591
5.00000	1.00000	10	0.20000	2	74	7	14	54	7	14	-6.94416	-inf	-7.59489
5.00000	1.00000	10	0.20000	3	75	7	14	55	7	14	-6.98810	-inf	-7.52466
5.00000	1.00000	10	0.20000	4	70	7	12	53	6	12	-7.09579	-inf	-7.52639
5.00000	1.00000	10	0.50000	0	71	7	12	54	6	12	-7.09736	-inf	-7.25906
5.00000	1.00000	10	0.50000	1	80	7	16	57	8	16	-7.14405	-inf	-7.07469
5.00000	1.00000	10	0.50000	2	74	7	14	54	7	14	-6.96373	-inf	-7.59158
5.00000	1.00000	10	0.50000	3	75	7	14	55	7	14	-7.00450	-inf	-7.49289
5.00000	1.00000	10	0.50000	4	70	7	12	53	6	12	-7.11753	-inf	-7.46161
5.00000	1.00000	10	1.00000	0	71	7	12	54	6	12	-7.13827	-inf	-7.28887
5.00000	1.00000	10	1.00000	1	80	7	16	57	8	16	-7.18355	-inf	-7.11229
5.00000	1.00000	10	1.00000	2	74	7	14	54	7	14	-7.00555	-inf	-7.60808
5.00000	1.00000	10	1.00000	3	75	7	14	55	7	14	-7.04351	-inf	-7.48168
5.00000	1.00000	10	1.00000	4	70	7	12	53	6	12	-7.15941	-inf	-7.43983
5.00000	1.00000	10	2.00000	0	71	7	12	54	6	12	-7.23336	-inf	-7.35964
5.00000	1.00000	10	2.00000	1	80	7	16	57	8	16	-7.27663	-inf	-7.19960
