parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/health1500/health1500.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	6961	23	881	5647	434	881	-13.81381	-inf	-14.64211
5.00000	1.00000	10	0.10000	1	7370	21	858	6088	425	858	-13.87481	-inf	-14.51965
5.00000	1.00000	10	0.10000	2	7554	23	873	6250	432	873	-13.78680	-inf	-14.68923
5.00000	1.00000	10	0.10000	3	7013	21	843	5753	418	843	-13.74105	-inf	-15.07485
5.00000	1.00000	10	0.10000	4	7148	23	872	5847	430	872	-13.74841	-inf	-15.32819
5.00000	1.00000	10	0.20000	0	6961	23	881	5647	434	881	-13.82728	-inf	-14.57488
5.00000	1.00000	10	0.20000	1	7370	21	858	6088	425	858	-13.89314	-inf	-14.45838
5.00000	1.00000	10	0.20000	2	7554	23	873	6250	432	873	-13.80666	-inf	-14.62484
5.00000	1.00000	10	0.20000	3	7013	21	843	5753	418	843	-13.75598	-inf	-14.99341
5.00000	1.00000	10	0.20000	4	7148	23	872	5847	430	872	-13.76503	-inf	-15.25052
5.00000	1.00000	10	0.50000	0	6961	23	881	5647	434	881	-13.88866	-inf	-14.52182
5.00000	1.00000	10	0.50000	1	7370	21	858	6088	425	858	-13.96837	-inf	-14.41525
5.00000	1.00000	10	0.50000	2	7554	23	873	6250	432	873	-13.88574	-inf	-14.58225
5.00000	1.00000	10	0.50000	3	7013	21	843	5753	418	843	-13.82069	-inf	-14.92033
5.00000	1.00000	10	0.50000	4	7148	23	872	5847	430	872	-13.83546	-inf	-15.18293
5.00000	1.00000	10	1.00000	0	6961	23	881	5647	434	881	-14.01210	-inf	-14.55210
5.00000	1.00000	10	1.00000	1	7370	21	858	6088	425	858	-14.11356	-inf	-14.45799
5.00000	1.00000	10	1.00000	2	7554	23	873	6250	432	873	-14.03685	-inf	-14.62971
5.00000	1.00000	10	1.00000	3	7013	21	843	5753	418	843	-13.94883	-inf	-14.93729
5.00000	1.00000	10	1.00000	4	7148	23	872	5847	430	872	-13.97335	-inf	-15.20330
5.00000	1.00000	10	2.00000	0	6961	23	881	5647	434	881	-14.27540	-inf	-14.71402
5.00000	1.00000	10	2.00000	1	7370	21	858	6088	425	858	-14.41589	-inf	-14.64216
5.00000	1.00000	10	2.00000	2	7554	23	873	6250	432	873	-14.35010	-inf	-14.82137
5.00000	1.00000	10	2.00000	3	7013	21	843	5753	418	843	-14.21883	-inf	-15.08945
5.00000	1.00000	10	2.00000	4	7148	23	872	5847	430	872	-14.26313	-inf	-15.36120
5.00000	1.00000	50	0.10000	0	6571	21	741	5463	368	741	-13.88724	-inf	-14.65623
5.00000	1.00000	50	0.10000	1	6843	21	708	5784	352	708	-14.01555	-inf	-14.51003
5.00000	1.00000	50	0.10000	2	7049	21	708	5991	351	708	-13.93584	-inf	-14.73682
5.00000	1.00000	50	0.10000	3	6425	21	663	5432	331	663	-13.88092	-inf	-15.07074
5.00000	1.00000	50	0.10000	4	6840	23	754	5714	373	754	-13.85408	-inf	-15.33744
5.00000	1.00000	50	0.20000	0	6571	21	741	5463	368	741	-13.89830	-inf	-14.59312
5.00000	1.00000	50	0.20000	1	6843	21	708	5784	352	708	-14.02800	-inf	-14.45991
5.00000	1.00000	50	0.20000	2	7049	21	708	5991	351	708	-13.95198	-inf	-14.67777
5.00000	1.00000	50	0.20000	3	6425	21	663	5432	331	663	-13.89194	-inf	-15.00017
5.00000	1.00000	50	0.20000	4	6840	23	754	5714	373	754	-13.86760	-inf	-15.26546
5.00000	1.00000	50	0.50000	0	6571	21	741	5463	368	741	-13.95380	-inf	-14.54325
5.00000	1.00000	50	0.50000	1	6843	21	708	5784	352	708	-14.09027	-inf	-14.43087
5.00000	1.00000	50	0.50000	2	7049	21	708	5991	351	708	-14.02167	-inf	-14.63845
5.00000	1.00000	50	0.50000	3	6425	21	663	5432	331	663	-13.94632	-inf	-14.93903
5.00000	1.00000	50	0.50000	4	6840	23	754	5714	373	754	-13.93063	-inf	-15.20251
5.00000	1.00000	50	1.00000	0	6571	21	741	5463	368	741	-14.06921	-inf	-14.57368
5.00000	1.00000	50	1.00000	1	6843	21	708	5784	352	708	-14.21846	-inf	-14.47915
5.00000	1.00000	50	1.00000	2	7049	21	708	5991	351	708	-14.15900	-inf	-14.68325
5.00000	1.00000	50	1.00000	3	6425	21	663	5432	331	663	-14.05908	-inf	-14.96069
5.00000	1.00000	50	1.00000	4	6840	23	754	5714	373	754	-14.05829	-inf	-15.22393
