parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/human3106/human3106.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	15216	19	2313	11758	1146	2313	-121.54777	-inf	-131.07007
5.00000	1.00000	10	0.10000	1	15410	17	2392	11828	1191	2392	-121.23769	-inf	-131.65337
5.00000	1.00000	10	0.10000	2	15310	19	2351	11792	1168	2351	-121.79559	-inf	-130.75836
5.00000	1.00000	10	0.10000	3	15127	19	2283	11710	1135	2283	-122.13917	-inf	-129.44642
5.00000	1.00000	10	0.10000	4	15720	21	2453	12055	1213	2453	-121.84669	-inf	-129.42236
5.00000	1.00000	10	0.20000	0	15216	19	2313	11758	1146	2313	-121.54683	-inf	-130.50614
5.00000	1.00000	10	0.20000	1	15410	17	2392	11828	1191	2392	-121.23925	-inf	-131.09229
5.00000	1.00000	10	0.20000	2	15310	19	2351	11792	1168	2351	-121.78883	-inf	-130.25250
5.00000	1.00000	10	0.20000	3	15127	19	2283	11710	1135	2283	-122.12864	-inf	-128.93353
5.00000	1.00000	10	0.20000	4	15720	21	2453	12055	1213	2453	-121.84354	-inf	-128.87083
5.00000	1.00000	10	0.50000	0	15216	19	2313	11758	1146	2313	-121.63857	-inf	-129.66767
5.00000	1.00000	10	0.50000	1	15410	17	2392	11828	1191	2392	-121.33953	-inf	-130.25443
5.00000	1.00000	10	0.50000	2	15310	19	2351	11792	1168	2351	-121.87623	-inf	-129.50427
5.00000	1.00000	10	0.50000	3	15127	19	2283	11710	1135	2283	-122.20567	-inf	-128.16499
5.00000	1.00000	10	0.50000	4	15720	21	2453	12055	1213	2453	-121.93064	-inf	-128.06146
5.00000	1.00000	10	1.00000	0	15216	19	2313	11758	1146	2313	-121.91471	-inf	-129.06068
5.00000	1.00000	10	1.00000	1	15410	17	2392	11828	1191	2392	-121.62931	-inf	-129.64697
5.00000	1.00000	10	1.00000	2	15310	19	2351	11792	1168	2351	-122.15190	-inf	-128.97152
5.00000	1.00000	10	1.00000	3	15127	19	2283	11710	1135	2283	-122.46550	-inf	-127.59851
5.00000	1.00000	10	1.00000	4	15720	21	2453	12055	1213	2453	-122.20427	-inf	-127.48093
5.00000	1.00000	10	2.00000	0	15216	19	2313	11758	1146	2313	-122.63806	-inf	-128.72295
5.00000	1.00000	10	2.00000	1	15410	17	2392	11828	1191	2392	-122.37510	-inf	-129.29584
5.00000	1.00000	10	2.00000	2	15310	19	2351	11792	1168	2351	-122.87256	-inf	-128.69021
5.00000	1.00000	10	2.00000	3	15127	19	2283	11710	1135	2283	-123.16051	-inf	-127.28023
5.00000	1.00000	10	2.00000	4	15720	21	2453	12055	1213	2453	-122.93027	-inf	-127.15602
5.00000	1.00000	50	0.10000	0	13250	17	1682	10734	835	1682	-122.70943	-inf	-130.75136
5.00000	1.00000	50	0.10000	1	13094	17	1591	10710	794	1591	-122.59536	-inf	-131.12966
5.00000	1.00000	50	0.10000	2	13188	17	1589	10809	791	1589	-122.96283	-inf	-130.32965
5.00000	1.00000	50	0.10000	3	13306	17	1658	10822	827	1658	-123.24461	-inf	-129.05821
5.00000	1.00000	50	0.10000	4	13153	19	1590	10773	791	1590	-123.34467	-inf	-128.99883
5.00000	1.00000	50	0.20000	0	13250	17	1682	10734	835	1682	-122.68114	-inf	-130.30655
5.00000	1.00000	50	0.20000	1	13094	17	1591	10710	794	1591	-122.57008	-inf	-130.70234
5.00000	1.00000	50	0.20000	2	13188	17	1589	10809	791	1589	-122.93687	-inf	-129.93206
5.00000	1.00000	50	0.20000	3	13306	17	1658	10822	827	1658	-123.21561	-inf	-128.63508
5.00000	1.00000	50	0.20000	4	13153	19	1590	10773	791	1590	-123.30795	-inf	-128.57540
5.00000	1.00000	50	0.50000	0	13250	17	1682	10734	835	1682	-122.70367	-inf	-129.63975
5.00000	1.00000	50	0.50000	1	13094	17	1591	10710	794	1591	-122.59701	-inf	-130.06700
5.00000	1.00000	50	0.50000	2	13188	17	1589	10809	791	1589	-122.96895	-inf	-129.33978
5.00000	1.00000	50	0.50000	3	13306	17	1658	10822	827	1658	-123.24222	-inf	-128.01010
5.00000	1.00000	50	0.50000	4	13153	19	1590	10773	791	1590	-123.31429	-inf	-127.94650
5.00000	1.00000	50	1.00000	0	13250	17	1682	10734	835	1682	-122.87279	-inf	-129.15186
5.00000	1.00000	50	1.00000	1	13094	17	1591	10710	794	1591	-122.77149	-inf	-129.61010
5.00000	1.00000	50	1.00000	2	13188	17	1589	10809	791	1589	-123.15336	-inf	-128.91708
5.00000	1.00000	50	1.00000	3	13306	17	1658	10822	827	1658	-123.42308	-inf	-127.56040
5.00000	1.00000	50	1.00000	4	13153	19	1590	10773	791	1590	-123.46800	-inf	-127.49133
5.00000	1.00000	50	2.00000	0	13250	17	1682	10734	835	1682	-123.40061	-inf	-128.87813
5.00000	1.00000	50	2.00000	1	13094	17	1591	10710	794	1591	-123.31272	-inf	-129.37070
5.00000	1.00000	50	2.00000	2	13188	17	1589	10809	791	1589	-123.70698	-inf	-128.70857
5.00000	1.00000	50	2.00000	3	13306	17	1658	10822	827	1658	-123.97561	-inf	-127.33129
5.00000	1.00000	50	2.00000	4	13153	19	1590	10773	791	1590	-123.97804	-inf	-127.25851
5.00000	1.00000	100	0.10000	0	8869	15	496	8127	247	496	-125.45025	-inf	-130.25992
5.00000	1.00000	100	0.10000	1	8669	15	496	7926	248	496	-125.43541	-inf	-130.46763
5.00000	1.00000	100	0.10000	2	8601	15	436	7948	218	436	-125.89969	-inf	-129.75210
5.00000	1.00000	100	0.10000	3	8440	15	446	7772	223	446	-126.30292	-inf	-128.46036
5.00000	1.00000	100	0.10000	4	8866	15	520	8087	260	520	-125.95475	-inf	-128.58028
5.00000	1.00000	100	0.20000	0	8869	15	496	8127	247	496	-125.39422	-inf	-129.98700
5.00000	1.00000	100	0.20000	1	8669	15	496	7926	248	496	-125.38350	-inf	-130.24169
5.00000	1.00000	100	0.20000	2	8601	15	436	7948	218	436	-125.84837	-inf	-129.56571
5.00000	1.00000	100	0.20000	3	8440	15	446	7772	223	446	-126.23965	-inf	-128.22073
5.00000	1.00000	100	0.20000	4	8866	15	520	8087	260	520	-125.89802	-inf	-128.33861
5.00000	1.00000	100	0.50000	0	8869	15	496	8127	247	496	-125.35219	-inf	-129.60782
5.00000	1.00000	100	0.50000	1	8669	15	496	7926	248	496	-125.34041	-inf	-129.92338
5.00000	1.00000	100	0.50000	2	8601	15	436	7948	218	436	-125.81144	-inf	-129.31512
5.00000	1.00000	100	0.50000	3	8440	15	446	7772	223	446	-126.18009	-inf	-127.88575
5.00000	1.00000	100	0.50000	4	8866	15	520	8087	260	520	-125.85230	-inf	-127.99446
5.00000	1.00000	100	1.00000	0	8869	15	496	8127	247	496	-125.41058	-inf	-129.36023
5.00000	1.00000	100	1.00000	1	8669	15	496	7926	248	496	-125.38949	-inf	-129.71394
5.00000	1.00000	100	1.00000	2	8601	15	436	7948	218	436	-125.87092	-inf	-129.17290
5.00000	1.00000	100	1.00000	3	8440	15	446	7772	223	446	-126.21611	-inf	-127.67601
5.00000	1.00000	100	1.00000	4	8866	15	520	8087	260	520	-125.90548	-inf	-127.76575
5.00000	1.00000	100	2.00000	0	8869	15	496	8127	247	496	-125.69490	-inf	-129.27939
5.00000	1.00000	100	2.00000	1	8669	15	496	7926	248	496	-125.65088	-inf	-129.65399
5.00000	1.00000	100	2.00000	2	8601	15	436	7948	218	436	-126.14956	-inf	-129.19168
5.00000	1.00000	100	2.00000	3	8440	15	446	7772	223	446	-126.46957	-inf	-127.63911
5.00000	1.00000	100	2.00000	4	8866	15	520	8087	260	520	-126.18875	-inf	-127.70330
5.00000	1.00000	500	0.10000	0	2791	9	14	2771	7	14	-130.02119	-inf	-131.94159
5.00000	1.00000	500	0.10000	1	2553	7	14	2533	7	14	-130.37332	-inf	-132.48381
5.00000	1.00000	500	0.10000	2	2550	7	16	2527	8	16	-130.58487	-inf	-131.93625
5.00000	1.00000	500	0.10000	3	2784	9	18	2758	9	18	-130.43557	-inf	-130.18664
5.00000	1.00000	500	0.10000	4	2800	9	22	2768	11	22	-130.24219	-inf	-130.17185
5.00000	1.00000	500	0.20000	0	2791	9	14	2771	7	14	-129.95711	-inf	-131.82738
5.00000	1.00000	500	0.20000	1	2553	7	14	2533	7	14	-130.31744	-inf	-132.37586
5.00000	1.00000	500	0.20000	2	2550	7	16	2527	8	16	-130.52412	-inf	-131.83677
5.00000	1.00000	500	0.20000	3	2784	9	18	2758	9	18	-130.36805	-inf	-130.05827
5.00000	1.00000	500	0.20000	4	2800	9	22	2768	11	22	-130.18031	-inf	-130.06334
5.00000	1.00000	500	0.50000	0	2791	9	14	2771	7	14	-129.87990	-inf	-131.67343
5.00000	1.00000	500	0.50000	1	2553	7	14	2533	7	14	-130.25037	-inf	-132.23143
5.00000	1.00000	500	0.50000	2	2550	7	16	2527	8	16	-130.44882	-inf	-131.70782
5.00000	1.00000	500	0.50000	3	2784	9	18	2758	9	18	-130.28561	-inf	-129.88824
