parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/plant978/plant978.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	3509	15	517	2740	253	517	-95.37041	-inf	-102.78009
5.00000	1.00000	10	0.10000	1	3432	13	473	2729	231	473	-95.41153	-inf	-103.15140
5.00000	1.00000	10	0.10000	2	3548	15	533	2756	260	533	-95.64664	-inf	-101.30575
5.00000	1.00000	10	0.10000	3	3432	13	503	2684	246	503	-95.52875	-inf	-102.44993
5.00000	1.00000	10	0.10000	4	3548	13	502	2800	247	502	-95.16784	-inf	-103.07486
5.00000	1.00000	10	0.20000	0	3509	15	517	2740	253	517	-95.39775	-inf	-102.31558
5.00000	1.00000	10	0.20000	1	3432	13	473	2729	231	473	-95.44465	-inf	-102.73718
5.00000	1.00000	10	0.20000	2	3548	15	533	2756	260	533	-95.68117	-inf	-100.85709
5.00000	1.00000	10	0.20000	3	3432	13	503	2684	246	503	-95.55104	-inf	-102.01926
5.00000	1.00000	10	0.20000	4	3548	13	502	2800	247	502	-95.20372	-inf	-102.64646
5.00000	1.00000	10	0.50000	0	3509	15	517	2740	253	517	-95.54340	-inf	-101.68118
5.00000	1.00000	10	0.50000	1	3432	13	473	2729	231	473	-95.59719	-inf	-102.15897
5.00000	1.00000	10	0.50000	2	3548	15	533	2756	260	533	-95.83630	-inf	-100.26797
5.00000	1.00000	10	0.50000	3	3432	13	503	2684	246	503	-95.68089	-inf	-101.45392
5.00000	1.00000	10	0.50000	4	3548	13	502	2800	247	502	-95.37349	-inf	-102.06005
5.00000	1.00000	10	1.00000	0	3509	15	517	2740	253	517	-95.87247	-inf	-101.29586
5.00000	1.00000	10	1.00000	1	3432	13	473	2729	231	473	-95.92899	-inf	-101.80644
5.00000	1.00000	10	1.00000	2	3548	15	533	2756	260	533	-96.16984	-inf	-99.93109
5.00000	1.00000	10	1.00000	3	3432	13	503	2684	246	503	-95.98222	-inf	-101.12883
5.00000	1.00000	10	1.00000	4	3548	13	502	2800	247	502	-95.74203	-inf	-101.70624
5.00000	1.00000	10	2.00000	0	3509	15	517	2740	253	517	-96.65689	-inf	-101.23968
5.00000	1.00000	10	2.00000	1	3432	13	473	2729	231	473	-96.71718	-inf	-101.77359
5.00000	1.00000	10	2.00000	2	3548	15	533	2756	260	533	-96.95352	-inf	-99.93332
5.00000	1.00000	10	2.00000	3	3432	13	503	2684	246	503	-96.71025	-inf	-101.12081
5.00000	1.00000	10	2.00000	4	3548	13	502	2800	247	502	-96.59816	-inf	-101.66295
5.00000	1.00000	50	0.10000	0	3126	15	383	2555	189	383	-96.22011	-inf	-102.78494
5.00000	1.00000	50	0.10000	1	3241	13	412	2627	203	412	-95.76767	-inf	-102.92766
5.00000	1.00000	50	0.10000	2	3336	13	453	2662	222	453	-95.99268	-inf	-101.27351
5.00000	1.00000	50	0.10000	3	3166	13	405	2563	199	405	-95.94114	-inf	-102.29022
5.00000	1.00000	50	0.10000	4	3192	13	382	2622	189	382	-95.81716	-inf	-102.81666
5.00000	1.00000	50	0.20000	0	3126	15	383	2555	189	383	-96.22523	-inf	-102.40141
5.00000	1.00000	50	0.20000	1	3241	13	412	2627	203	412	-95.78616	-inf	-102.58513
5.00000	1.00000	50	0.20000	2	3336	13	453	2662	222	453	-96.01793	-inf	-100.86582
5.00000	1.00000	50	0.20000	3	3166	13	405	2563	199	405	-95.94837	-inf	-101.92476
5.00000	1.00000	50	0.20000	4	3192	13	382	2622	189	382	-95.84252	-inf	-102.47790
5.00000	1.00000	50	0.50000	0	3126	15	383	2555	189	383	-96.32184	-inf	-101.86479
5.00000	1.00000	50	0.50000	1	3241	13	412	2627	203	412	-95.90615	-inf	-102.10742
5.00000	1.00000	50	0.50000	2	3336	13	453	2662	222	453	-96.14823	-inf	-100.32488
5.00000	1.00000	50	0.50000	3	3166	13	405	2563	199	405	-96.03808	-inf	-101.43285
5.00000	1.00000	50	0.50000	4	3192	13	382	2622	189	382	-95.97876	-inf	-101.99574
5.00000	1.00000	50	1.00000	0	3126	15	383	2555	189	383	-96.58388	-inf	-101.52437
5.00000	1.00000	50	1.00000	1	3241	13	412	2627	203	412	-96.19851	-inf	-101.82673
5.00000	1.00000	50	1.00000	2	3336	13	453	2662	222	453	-96.44679	-inf	-100.01504
5.00000	1.00000	50	1.00000	3	3166	13	405	2563	199	405	-96.28863	-inf	-101.14655
5.00000	1.00000	50	1.00000	4	3192	13	382	2622	189	382	-96.29055	-inf	-101.69187
5.00000	1.00000	50	2.00000	0	3126	15	383	2555	189	383	-97.25673	-inf	-101.47092
5.00000	1.00000	50	2.00000	1	3241	13	412	2627	203	412	-96.92795	-inf	-101.84746
5.00000	1.00000	50	2.00000	2	3336	13	453	2662	222	453	-97.17513	-inf	-100.02083
5.00000	1.00000	50	2.00000	3	3166	13	405	2563	199	405	-96.94465	-inf	-101.15423
5.00000	1.00000	50	2.00000	4	3192	13	382	2622	189	382	-97.04503	-inf	-101.67498
5.00000	1.00000	100	0.10000	0	2413	13	192	2126	96	192	-97.71713	-inf	-102.32725
5.00000	1.00000	100	0.10000	1	2484	11	211	2169	105	211	-97.46236	-inf	-102.50835
5.00000	1.00000	100	0.10000	2	2616	13	261	2226	130	261	-97.49709	-inf	-100.93274
5.00000	1.00000	100	0.10000	3	2509	13	204	2204	102	204	-97.33264	-inf	-101.97675
5.00000	1.00000	100	0.10000	4	2409	13	181	2139	90	181	-97.71956	-inf	-102.61476
5.00000	1.00000	100	0.20000	0	2413	13	192	2126	96	192	-97.70787	-inf	-102.06650
