parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/scene/scene.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	40666	21	5587	32288	2792	5587	-93.86880	-inf	-125.60209
5.00000	1.00000	10	0.10000	1	40373	21	5679	31858	2837	5679	-93.07771	-inf	-127.24490
5.00000	1.00000	10	0.10000	2	40280	19	5418	32156	2707	5418	-94.08260	-inf	-126.15117
5.00000	1.00000	10	0.10000	3	39990	19	5392	31905	2694	5392	-93.93688	-inf	-125.95814
5.00000	1.00000	10	0.10000	4	40294	21	5597	31902	2796	5597	-93.69760	-inf	-126.14518
5.00000	1.00000	10	0.20000	0	40666	21	5587	32288	2792	5587	-94.43133	-inf	-122.84928
5.00000	1.00000	10	0.20000	1	40373	21	5679	31858	2837	5679	-93.61484	-inf	-124.30193
5.00000	1.00000	10	0.20000	2	40280	19	5418	32156	2707	5418	-94.61959	-inf	-123.33601
5.00000	1.00000	10	0.20000	3	39990	19	5392	31905	2694	5392	-94.45769	-inf	-123.07354
5.00000	1.00000	10	0.20000	4	40294	21	5597	31902	2796	5597	-94.24885	-inf	-123.37002
5.00000	1.00000	10	0.50000	0	40666	21	5587	32288	2792	5587	-96.10576	-inf	-119.55874
5.00000	1.00000	10	0.50000	1	40373	21	5679	31858	2837	5679	-95.25401	-inf	-120.76881
5.00000	1.00000	10	0.50000	2	40280	19	5418	32156	2707	5418	-96.23884	-inf	-119.96316
5.00000	1.00000	10	0.50000	3	39990	19	5392	31905	2694	5392	-96.04333	-inf	-119.57350
5.00000	1.00000	10	0.50000	4	40294	21	5597	31902	2796	5597	-95.89498	-inf	-120.03067
5.00000	1.00000	10	1.00000	0	40666	21	5587	32288	2792	5587	-98.76203	-inf	-117.97159
5.00000	1.00000	10	1.00000	1	40373	21	5679	31858	2837	5679	-97.89130	-inf	-118.98149
5.00000	1.00000	10	1.00000	2	40280	19	5418	32156	2707	5418	-98.83577	-inf	-118.27121
5.00000	1.00000	10	1.00000	3	39990	19	5392	31905	2694	5392	-98.61317	-inf	-117.78978
5.00000	1.00000	10	1.00000	4	40294	21	5597	31902	2796	5597	-98.51348	-inf	-118.39525
