parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/arts1500/arts1500.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	483	17	98	341	45	98	-4.16869	-inf	-4.18244
5.00000	1.00000	10	0.10000	1	496	19	101	347	49	101	-4.17667	-inf	-4.22953
5.00000	1.00000	10	0.10000	2	469	17	103	318	49	103	-4.16538	-inf	-4.26392
5.00000	1.00000	10	0.10000	3	543	19	116	373	55	116	-4.17766	-inf	-4.29221
5.00000	1.00000	10	0.10000	4	484	17	108	324	53	108	-4.16862	-inf	-4.19798
5.00000	1.00000	10	0.20000	0	483	17	98	341	45	98	-4.16886	-inf	-4.17870
5.00000	1.00000	10	0.20000	1	496	19	101	347	49	101	-4.17576	-inf	-4.22348
5.00000	1.00000	10	0.20000	2	469	17	103	318	49	103	-4.16500	-inf	-4.26124
5.00000	1.00000	10	0.20000	3	543	19	116	373	55	116	-4.17623	-inf	-4.28680
5.00000	1.00000	10	0.20000	4	484	17	108	324	53	108	-4.16803	-inf	-4.19475
5.00000	1.00000	10	0.50000	0	483	17	98	341	45	98	-4.17118	-inf	-4.17453
5.00000	1.00000	10	0.50000	1	496	19	101	347	49	101	-4.17658	-inf	-4.21651
5.00000	1.00000	10	0.50000	2	469	17	103	318	49	103	-4.16604	-inf	-4.25809
5.00000	1.00000	10	0.50000	3	543	19	116	373	55	116	-4.17599	-inf	-4.27888
5.00000	1.00000	10	0.50000	4	484	17	108	324	53	108	-4.16905	-inf	-4.19276
5.00000	1.00000	10	1.00000	0	483	17	98	341	45	98	-4.17765	-inf	-4.17485
5.00000	1.00000	10	1.00000	1	496	19	101	347	49	101	-4.18213	-inf	-4.21498
5.00000	1.00000	10	1.00000	2	469	17	103	318	49	103	-4.17097	-inf	-4.25863
5.00000	1.00000	10	1.00000	3	543	19	116	373	55	116	-4.18060	-inf	-4.27517
5.00000	1.00000	10	1.00000	4	484	17	108	324	53	108	-4.17434	-inf	-4.19626
