parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/business1500/business1500.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	427	19	80	309	39	80	-2.21492	-inf	-2.14147
5.00000	1.00000	10	0.10000	1	438	19	86	311	42	86	-2.19802	-inf	-2.24557
5.00000	1.00000	10	0.10000	2	409	19	77	295	38	77	-2.21300	-inf	-2.17937
5.00000	1.00000	10	0.10000	3	395	17	82	274	40	82	-2.19932	-inf	-2.25942
5.00000	1.00000	10	0.10000	4	401	19	86	274	42	86	-2.18914	-inf	-2.31611
5.00000	1.00000	10	0.20000	0	427	19	80	309	39	80	-2.21548	-inf	-2.14017
5.00000	1.00000	10	0.20000	1	438	19	86	311	42	86	-2.19818	-inf	-2.24435
5.00000	1.00000	10	0.20000	2	409	19	77	295	38	77	-2.21338	-inf	-2.17914
5.00000	1.00000	10	0.20000	3	395	17	82	274	40	82	-2.19984	-inf	-2.25614
5.00000	1.00000	10	0.20000	4	401	19	86	274	42	86	-2.18956	-inf	-2.31537
5.00000	1.00000	10	0.50000	0	427	19	80	309	39	80	-2.21864	-inf	-2.14033
5.00000	1.00000	10	0.50000	1	438	19	86	311	42	86	-2.20043	-inf	-2.24510
5.00000	1.00000	10	0.50000	2	409	19	77	295	38	77	-2.21601	-inf	-2.18094
5.00000	1.00000	10	0.50000	3	395	17	82	274	40	82	-2.20244	-inf	-2.25240
5.00000	1.00000	10	0.50000	4	401	19	86	274	42	86	-2.19209	-inf	-2.31651
5.00000	1.00000	10	1.00000	0	427	19	80	309	39	80	-2.22543	-inf	-2.14440
5.00000	1.00000	10	1.00000	1	438	19	86	311	42	86	-2.20621	-inf	-2.25035
5.00000	1.00000	10	1.00000	2	409	19	77	295	38	77	-2.22197	-inf	-2.18619
5.00000	1.00000	10	1.00000	3	395	17	82	274	40	82	-2.20799	-inf	-2.25207
5.00000	1.00000	10	1.00000	4	401	19	86	274	42	86	-2.19770	-inf	-2.32146
5.00000	1.00000	10	2.00000	0	427	19	80	309	39	80	-2.24051	-inf	-2.15621
5.00000	1.00000	10	2.00000	1	438	19	86	311	42	86	-2.22008	-inf	-2.26466
5.00000	1.00000	10	2.00000	2	409	19	77	295	38	77	-2.23558	-inf	-2.19882
5.00000	1.00000	10	2.00000	3	395	17	82	274	40	82	-2.22050	-inf	-2.25776
5.00000	1.00000	10	2.00000	4	401	19	86	274	42	86	-2.21043	-inf	-2.33414
5.00000	1.00000	50	0.10000	0	388	19	68	288	33	68	-2.23091	-inf	-2.14971
5.00000	1.00000	50	0.10000	1	395	17	72	289	35	72	-2.20696	-inf	-2.25188
5.00000	1.00000	50	0.10000	2	403	19	75	292	37	75	-2.21439	-inf	-2.18092
5.00000	1.00000	50	0.10000	3	373	17	74	264	36	74	-2.20387	-inf	-2.26409
