parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/cal500/cal500.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	1910	13	294	1470	147	294	-41.55178	-inf	-47.35325
5.00000	1.00000	10	0.10000	1	1815	13	260	1426	130	260	-41.38714	-inf	-48.63257
5.00000	1.00000	10	0.10000	2	1828	11	276	1415	138	276	-41.97368	-inf	-48.21202
5.00000	1.00000	10	0.10000	3	1778	13	252	1401	126	252	-41.71107	-inf	-48.36058
5.00000	1.00000	10	0.10000	4	1871	13	296	1428	148	296	-41.18057	-inf	-48.49238
5.00000	1.00000	10	0.20000	0	1910	13	294	1470	147	294	-41.64372	-inf	-46.89567
5.00000	1.00000	10	0.20000	1	1815	13	260	1426	130	260	-41.47599	-inf	-48.21806
5.00000	1.00000	10	0.20000	2	1828	11	276	1415	138	276	-42.04834	-inf	-47.76769
5.00000	1.00000	10	0.20000	3	1778	13	252	1401	126	252	-41.79435	-inf	-47.95038
5.00000	1.00000	10	0.20000	4	1871	13	296	1428	148	296	-41.26311	-inf	-48.01357
5.00000	1.00000	10	0.50000	0	1910	13	294	1470	147	294	-41.95512	-inf	-46.39338
5.00000	1.00000	10	0.50000	1	1815	13	260	1426	130	260	-41.77395	-inf	-47.75863
5.00000	1.00000	10	0.50000	2	1828	11	276	1415	138	276	-42.32154	-inf	-47.26818
5.00000	1.00000	10	0.50000	3	1778	13	252	1401	126	252	-42.07785	-inf	-47.48621
5.00000	1.00000	10	0.50000	4	1871	13	296	1428	148	296	-41.55225	-inf	-47.45755
5.00000	1.00000	10	1.00000	0	1910	13	294	1470	147	294	-42.52945	-inf	-46.27468
5.00000	1.00000	10	1.00000	1	1815	13	260	1426	130	260	-42.31708	-inf	-47.63081
5.00000	1.00000	10	1.00000	2	1828	11	276	1415	138	276	-42.84389	-inf	-47.12999
5.00000	1.00000	10	1.00000	3	1778	13	252	1401	126	252	-42.59727	-inf	-47.34468
5.00000	1.00000	10	1.00000	4	1871	13	296	1428	148	296	-42.09004	-inf	-47.24452
5.00000	1.00000	10	2.00000	0	1910	13	294	1470	147	294	-43.73731	-inf	-46.73155
5.00000	1.00000	10	2.00000	1	1815	13	260	1426	130	260	-43.45721	-inf	-47.99928
5.00000	1.00000	10	2.00000	2	1828	11	276	1415	138	276	-43.97132	-inf	-47.53506
5.00000	1.00000	10	2.00000	3	1778	13	252	1401	126	252	-43.69067	-inf	-47.68899
5.00000	1.00000	10	2.00000	4	1871	13	296	1428	148	296	-43.22947	-inf	-47.51985
5.00000	1.00000	50	0.10000	0	1299	9	108	1138	54	108	-44.70046	-inf	-48.80683
5.00000	1.00000	50	0.10000	1	1334	9	126	1146	63	126	-43.88259	-inf	-49.40652
5.00000	1.00000	50	0.10000	2	1335	9	128	1144	64	128	-44.57752	-inf	-48.69039
5.00000	1.00000	50	0.10000	3	1294	11	120	1115	60	120	-44.52895	-inf	-49.45031
5.00000	1.00000	50	0.10000	4	1300	9	122	1118	61	122	-44.49274	-inf	-49.17698
5.00000	1.00000	50	0.20000	0	1299	9	108	1138	54	108	-44.73595	-inf	-48.46495
5.00000	1.00000	50	0.20000	1	1334	9	126	1146	63	126	-43.93534	-inf	-49.12429
5.00000	1.00000	50	0.20000	2	1335	9	128	1144	64	128	-44.61275	-inf	-48.42783
5.00000	1.00000	50	0.20000	3	1294	11	120	1115	60	120	-44.57150	-inf	-49.17572
5.00000	1.00000	50	0.20000	4	1300	9	122	1118	61	122	-44.53200	-inf	-48.88420
5.00000	1.00000	50	0.50000	0	1299	9	108	1138	54	108	-44.89845	-inf	-48.04588
5.00000	1.00000	50	0.50000	1	1334	9	126	1146	63	126	-44.12589	-inf	-48.81183
5.00000	1.00000	50	0.50000	2	1335	9	128	1144	64	128	-44.77621	-inf	-48.14426
5.00000	1.00000	50	0.50000	3	1294	11	120	1115	60	120	-44.73393	-inf	-48.86000
5.00000	1.00000	50	0.50000	4	1300	9	122	1118	61	122	-44.68954	-inf	-48.55332
5.00000	1.00000	50	1.00000	0	1299	9	108	1138	54	108	-45.24245	-inf	-47.89416
5.00000	1.00000	50	1.00000	1	1334	9	126	1146	63	126	-44.49692	-inf	-48.73617
5.00000	1.00000	50	1.00000	2	1335	9	128	1144	64	128	-45.12563	-inf	-48.10664
5.00000	1.00000	50	1.00000	3	1294	11	120	1115	60	120	-45.06015	-inf	-48.75932
5.00000	1.00000	50	1.00000	4	1300	9	122	1118	61	122	-45.01237	-inf	-48.45525
5.00000	1.00000	50	2.00000	0	1299	9	108	1138	54	108	-46.04350	-inf	-48.16483
5.00000	1.00000	50	2.00000	1	1334	9	126	1146	63	126	-45.33290	-inf	-49.05028
5.00000	1.00000	50	2.00000	2	1335	9	128	1144	64	128	-45.94336	-inf	-48.49994
5.00000	1.00000	50	2.00000	3	1294	11	120	1115	60	120	-45.80571	-inf	-49.01716
5.00000	1.00000	50	2.00000	4	1300	9	122	1118	61	122	-45.76478	-inf	-48.72767
5.00000	1.00000	100	0.10000	0	883	7	44	818	22	44	-47.76724	-inf	-49.25684
5.00000	1.00000	100	0.10000	1	976	7	62	884	31	62	-46.39208	-inf	-51.04901
5.00000	1.00000	100	0.10000	2	871	7	42	809	21	42	-47.74359	-inf	-50.53001
5.00000	1.00000	100	0.10000	3	847	7	42	785	21	42	-47.58265	-inf	-50.97439
5.00000	1.00000	100	0.10000	4	878	7	50	804	25	50	-47.20807	-inf	-50.09525
5.00000	1.00000	100	0.20000	0	883	7	44	818	22	44	-47.78157	-inf	-49.11150
5.00000	1.00000	100	0.20000	1	976	7	62	884	31	62	-46.41995	-inf	-50.82933
5.00000	1.00000	100	0.20000	2	871	7	42	809	21	42	-47.75093	-inf	-50.34758
5.00000	1.00000	100	0.20000	3	847	7	42	785	21	42	-47.58925	-inf	-50.74808
5.00000	1.00000	100	0.20000	4	878	7	50	804	25	50	-47.22861	-inf	-49.88028
5.00000	1.00000	100	0.50000	0	883	7	44	818	22	44	-47.87096	-inf	-48.96778
5.00000	1.00000	100	0.50000	1	976	7	62	884	31	62	-46.53752	-inf	-50.57936
5.00000	1.00000	100	0.50000	2	871	7	42	809	21	42	-47.82404	-inf	-50.15777
5.00000	1.00000	100	0.50000	3	847	7	42	785	21	42	-47.65487	-inf	-50.46838
5.00000	1.00000	100	0.50000	4	878	7	50	804	25	50	-47.32867	-inf	-49.64983
5.00000	1.00000	100	1.00000	0	883	7	44	818	22	44	-48.07976	-inf	-48.98479
5.00000	1.00000	100	1.00000	1	976	7	62	884	31	62	-46.78519	-inf	-50.50189
5.00000	1.00000	100	1.00000	2	871	7	42	809	21	42	-48.01479	-inf	-50.13380
5.00000	1.00000	100	1.00000	3	847	7	42	785	21	42	-47.82745	-inf	-50.35714
5.00000	1.00000	100	1.00000	4	878	7	50	804	25	50	-47.54910	-inf	-49.60281
5.00000	1.00000	100	2.00000	0	883	7	44	818	22	44	-48.60370	-inf	-49.30573
5.00000	1.00000	100	2.00000	1	976	7	62	884	31	62	-47.38004	-inf	-50.70736
