parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/emotions/emotions.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	32	7	8	21	4	8	-2.78119	-inf	-2.82028
5.00000	1.00000	10	0.10000	1	43	7	12	26	6	12	-2.77958	-inf	-2.75516
5.00000	1.00000	10	0.10000	2	40	7	10	26	5	10	-2.73197	-inf	-2.86098
5.00000	1.00000	10	0.10000	3	38	7	10	24	5	10	-2.75328	-inf	-2.87955
5.00000	1.00000	10	0.10000	4	43	7	12	26	6	12	-2.78960	-inf	-2.70618
5.00000	1.00000	10	0.20000	0	32	7	8	21	4	8	-2.78152	-inf	-2.82120
5.00000	1.00000	10	0.20000	1	43	7	12	26	6	12	-2.77900	-inf	-2.75572
5.00000	1.00000	10	0.20000	2	40	7	10	26	5	10	-2.73241	-inf	-2.86197
5.00000	1.00000	10	0.20000	3	38	7	10	24	5	10	-2.75370	-inf	-2.87879
5.00000	1.00000	10	0.20000	4	43	7	12	26	6	12	-2.79059	-inf	-2.70084
5.00000	1.00000	10	0.50000	0	32	7	8	21	4	8	-2.78281	-inf	-2.82405
5.00000	1.00000	10	0.50000	1	43	7	12	26	6	12	-2.77933	-inf	-2.75759
5.00000	1.00000	10	0.50000	2	40	7	10	26	5	10	-2.73446	-inf	-2.86507
5.00000	1.00000	10	0.50000	3	38	7	10	24	5	10	-2.75539	-inf	-2.87717
5.00000	1.00000	10	0.50000	4	43	7	12	26	6	12	-2.79372	-inf	-2.69530
5.00000	1.00000	10	1.00000	0	32	7	8	21	4	8	-2.78576	-inf	-2.82902
5.00000	1.00000	10	1.00000	1	43	7	12	26	6	12	-2.78218	-inf	-2.76126
5.00000	1.00000	10	1.00000	2	40	7	10	26	5	10	-2.73919	-inf	-2.87057
5.00000	1.00000	10	1.00000	3	38	7	10	24	5	10	-2.75914	-inf	-2.87608
5.00000	1.00000	10	1.00000	4	43	7	12	26	6	12	-2.79936	-inf	-2.69441
5.00000	1.00000	10	2.00000	0	32	7	8	21	4	8	-2.79353	-inf	-2.83963
5.00000	1.00000	10	2.00000	1	43	7	12	26	6	12	-2.79093	-inf	-2.77008
5.00000	1.00000	10	2.00000	2	40	7	10	26	5	10	-2.75093	-inf	-2.88233
5.00000	1.00000	10	2.00000	3	38	7	10	24	5	10	-2.76865	-inf	-2.87764
5.00000	1.00000	10	2.00000	4	43	7	12	26	6	12	-2.81159	-inf	-2.70093
5.00000	1.00000	50	0.10000	0	32	7	8	21	4	8	-2.78119	-inf	-2.82028
5.00000	1.00000	50	0.10000	1	43	7	12	26	6	12	-2.77958	-inf	-2.75516
5.00000	1.00000	50	0.10000	2	40	7	10	26	5	10	-2.73197	-inf	-2.86098
