parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/flags/flags.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	27	7	6	19	3	6	-3.88604	-inf	-4.07665
5.00000	1.00000	10	0.10000	1	21	5	4	16	2	4	-3.99378	-inf	-4.02323
5.00000	1.00000	10	0.10000	2	26	5	6	18	3	6	-3.83130	-inf	-3.97480
5.00000	1.00000	10	0.10000	3	21	5	4	16	2	4	-3.85072	-inf	-4.17029
5.00000	1.00000	10	0.10000	4	31	5	8	20	4	8	-3.83337	-inf	-3.79800
5.00000	1.00000	10	0.20000	0	27	7	6	19	3	6	-3.88484	-inf	-4.06853
5.00000	1.00000	10	0.20000	1	21	5	4	16	2	4	-3.99079	-inf	-4.01729
5.00000	1.00000	10	0.20000	2	26	5	6	18	3	6	-3.83115	-inf	-3.97181
5.00000	1.00000	10	0.20000	3	21	5	4	16	2	4	-3.85094	-inf	-4.16803
5.00000	1.00000	10	0.20000	4	31	5	8	20	4	8	-3.83349	-inf	-3.79813
5.00000	1.00000	10	0.50000	0	27	7	6	19	3	6	-3.88279	-inf	-4.05202
5.00000	1.00000	10	0.50000	1	21	5	4	16	2	4	-3.98389	-inf	-4.00298
5.00000	1.00000	10	0.50000	2	26	5	6	18	3	6	-3.83128	-inf	-3.96523
5.00000	1.00000	10	0.50000	3	21	5	4	16	2	4	-3.85189	-inf	-4.16255
5.00000	1.00000	10	0.50000	4	31	5	8	20	4	8	-3.83479	-inf	-3.79967
5.00000	1.00000	10	1.00000	0	27	7	6	19	3	6	-3.88288	-inf	-4.03718
5.00000	1.00000	10	1.00000	1	21	5	4	16	2	4	-3.97689	-inf	-3.98667
5.00000	1.00000	10	1.00000	2	26	5	6	18	3	6	-3.83297	-inf	-3.95948
5.00000	1.00000	10	1.00000	3	21	5	4	16	2	4	-3.85426	-inf	-4.15629
5.00000	1.00000	10	1.00000	4	31	5	8	20	4	8	-3.83911	-inf	-3.80477
5.00000	1.00000	10	2.00000	0	27	7	6	19	3	6	-3.88988	-inf	-4.02571
5.00000	1.00000	10	2.00000	1	21	5	4	16	2	4	-3.97203	-inf	-3.96907
5.00000	1.00000	10	2.00000	2	26	5	6	18	3	6	-3.84002	-inf	-3.95835
5.00000	1.00000	10	2.00000	3	21	5	4	16	2	4	-3.86112	-inf	-4.14954
5.00000	1.00000	10	2.00000	4	31	5	8	20	4	8	-3.85217	-inf	-3.81984
5.00000	1.00000	50	0.10000	0	22	5	4	17	2	4	-3.95057	-inf	-4.14541
5.00000	1.00000	50	0.10000	1	21	5	4	16	2	4	-3.99378	-inf	-4.02323
5.00000	1.00000	50	0.10000	2	26	5	6	18	3	6	-3.83130	-inf	-3.97480
5.00000	1.00000	50	0.10000	3	21	5	4	16	2	4	-3.85072	-inf	-4.17029
5.00000	1.00000	50	0.10000	4	31	5	8	20	4	8	-3.83337	-inf	-3.79800
5.00000	1.00000	50	0.20000	0	22	5	4	17	2	4	-3.94698	-inf	-4.13921
5.00000	1.00000	50	0.20000	1	21	5	4	16	2	4	-3.99079	-inf	-4.01729
5.00000	1.00000	50	0.20000	2	26	5	6	18	3	6	-3.83115	-inf	-3.97181
5.00000	1.00000	50	0.20000	3	21	5	4	16	2	4	-3.85094	-inf	-4.16803
5.00000	1.00000	50	0.20000	4	31	5	8	20	4	8	-3.83349	-inf	-3.79813
5.00000	1.00000	50	0.50000	0	22	5	4	17	2	4	-3.93962	-inf	-4.12370
5.00000	1.00000	50	0.50000	1	21	5	4	16	2	4	-3.98389	-inf	-4.00298
5.00000	1.00000	50	0.50000	2	26	5	6	18	3	6	-3.83128	-inf	-3.96523
5.00000	1.00000	50	0.50000	3	21	5	4	16	2	4	-3.85189	-inf	-4.16255
5.00000	1.00000	50	0.50000	4	31	5	8	20	4	8	-3.83479	-inf	-3.79967
5.00000	1.00000	50	1.00000	0	22	5	4	17	2	4	-3.93360	-inf	-4.10492
5.00000	1.00000	50	1.00000	1	21	5	4	16	2	4	-3.97689	-inf	-3.98667
5.00000	1.00000	50	1.00000	2	26	5	6	18	3	6	-3.83297	-inf	-3.95948
5.00000	1.00000	50	1.00000	3	21	5	4	16	2	4	-3.85426	-inf	-4.15629
5.00000	1.00000	50	1.00000	4	31	5	8	20	4	8	-3.83911	-inf	-3.80477
5.00000	1.00000	50	2.00000	0	22	5	4	17	2	4	-3.93199	-inf	-4.08231
5.00000	1.00000	50	2.00000	1	21	5	4	16	2	4	-3.97203	-inf	-3.96907
5.00000	1.00000	50	2.00000	2	26	5	6	18	3	6	-3.84002	-inf	-3.95835
5.00000	1.00000	50	2.00000	3	21	5	4	16	2	4	-3.86112	-inf	-4.14954
5.00000	1.00000	50	2.00000	4	31	5	8	20	4	8	-3.85217	-inf	-3.81984
5.00000	1.00000	100	0.10000	0	16	3	2	14	1	2	-3.99117	-inf	-4.07403
