parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/health1500/health1500.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	502	15	105	346	52	105	-3.28243	-inf	-3.32915
5.00000	1.00000	10	0.10000	1	479	17	93	341	46	93	-3.27166	-inf	-3.30324
5.00000	1.00000	10	0.10000	2	510	19	105	355	51	105	-3.27445	-inf	-3.29664
5.00000	1.00000	10	0.10000	3	493	19	98	348	48	98	-3.26525	-inf	-3.35236
5.00000	1.00000	10	0.10000	4	537	17	104	385	49	104	-3.25985	-inf	-3.30469
5.00000	1.00000	10	0.20000	0	502	15	105	346	52	105	-3.28337	-inf	-3.32705
5.00000	1.00000	10	0.20000	1	479	17	93	341	46	93	-3.27215	-inf	-3.29824
5.00000	1.00000	10	0.20000	2	510	19	105	355	51	105	-3.27442	-inf	-3.29628
5.00000	1.00000	10	0.20000	3	493	19	98	348	48	98	-3.26569	-inf	-3.34980
5.00000	1.00000	10	0.20000	4	537	17	104	385	49	104	-3.26103	-inf	-3.30327
5.00000	1.00000	10	0.50000	0	502	15	105	346	52	105	-3.28749	-inf	-3.32628
5.00000	1.00000	10	0.50000	1	479	17	93	341	46	93	-3.27540	-inf	-3.29394
5.00000	1.00000	10	0.50000	2	510	19	105	355	51	105	-3.27711	-inf	-3.29910
5.00000	1.00000	10	0.50000	3	493	19	98	348	48	98	-3.26905	-inf	-3.34837
5.00000	1.00000	10	0.50000	4	537	17	104	385	49	104	-3.26568	-inf	-3.30484
5.00000	1.00000	10	1.00000	0	502	15	105	346	52	105	-3.29578	-inf	-3.33016
5.00000	1.00000	10	1.00000	1	479	17	93	341	46	93	-3.28300	-inf	-3.29534
5.00000	1.00000	10	1.00000	2	510	19	105	355	51	105	-3.28441	-inf	-3.30730
5.00000	1.00000	10	1.00000	3	493	19	98	348	48	98	-3.27685	-inf	-3.35173
5.00000	1.00000	10	1.00000	4	537	17	104	385	49	104	-3.27498	-inf	-3.31225
5.00000	1.00000	10	2.00000	0	502	15	105	346	52	105	-3.31409	-inf	-3.34340
5.00000	1.00000	10	2.00000	1	479	17	93	341	46	93	-3.30102	-inf	-3.30638
5.00000	1.00000	10	2.00000	2	510	19	105	355	51	105	-3.30203	-inf	-3.32698
5.00000	1.00000	10	2.00000	3	493	19	98	348	48	98	-3.29491	-inf	-3.36467
5.00000	1.00000	10	2.00000	4	537	17	104	385	49	104	-3.29563	-inf	-3.33151
5.00000	1.00000	50	0.10000	0	479	15	97	335	48	97	-3.29033	-inf	-3.34167
5.00000	1.00000	50	0.10000	1	452	17	83	329	41	83	-3.27923	-inf	-3.31545
5.00000	1.00000	50	0.10000	2	455	17	83	333	40	83	-3.28618	-inf	-3.30475
5.00000	1.00000	50	0.10000	3	438	15	80	320	39	80	-3.27903	-inf	-3.36616
5.00000	1.00000	50	0.10000	4	477	15	82	358	38	82	-3.27583	-inf	-3.32914
5.00000	1.00000	50	0.20000	0	479	15	97	335	48	97	-3.29114	-inf	-3.33924
5.00000	1.00000	50	0.20000	1	452	17	83	329	41	83	-3.27956	-inf	-3.31003
5.00000	1.00000	50	0.20000	2	455	17	83	333	40	83	-3.28562	-inf	-3.30465
5.00000	1.00000	50	0.20000	3	438	15	80	320	39	80	-3.27915	-inf	-3.36289
5.00000	1.00000	50	0.20000	4	477	15	82	358	38	82	-3.27654	-inf	-3.32677
