parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/human3106/human3106.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	125	15	23	92	11	23	-2.71304	-inf	-2.82523
5.00000	1.00000	10	0.10000	1	124	15	26	86	13	26	-2.74594	-inf	-2.65865
5.00000	1.00000	10	0.10000	2	116	13	22	85	10	22	-2.71880	-inf	-2.74076
5.00000	1.00000	10	0.10000	3	126	17	26	88	13	26	-2.73729	-inf	-2.70886
5.00000	1.00000	10	0.10000	4	110	13	22	79	10	22	-2.69950	-inf	-2.81235
5.00000	1.00000	10	0.20000	0	125	15	23	92	11	23	-2.71254	-inf	-2.81805
5.00000	1.00000	10	0.20000	1	124	15	26	86	13	26	-2.74555	-inf	-2.65810
5.00000	1.00000	10	0.20000	2	116	13	22	85	10	22	-2.71865	-inf	-2.73892
5.00000	1.00000	10	0.20000	3	126	17	26	88	13	26	-2.73649	-inf	-2.70716
5.00000	1.00000	10	0.20000	4	110	13	22	79	10	22	-2.69930	-inf	-2.80835
5.00000	1.00000	10	0.50000	0	125	15	23	92	11	23	-2.71350	-inf	-2.80933
5.00000	1.00000	10	0.50000	1	124	15	26	86	13	26	-2.74594	-inf	-2.65811
5.00000	1.00000	10	0.50000	2	116	13	22	85	10	22	-2.71938	-inf	-2.73784
5.00000	1.00000	10	0.50000	3	126	17	26	88	13	26	-2.73667	-inf	-2.70604
5.00000	1.00000	10	0.50000	4	110	13	22	79	10	22	-2.70016	-inf	-2.80311
5.00000	1.00000	10	1.00000	0	125	15	23	92	11	23	-2.71808	-inf	-2.80561
5.00000	1.00000	10	1.00000	1	124	15	26	86	13	26	-2.74893	-inf	-2.66093
5.00000	1.00000	10	1.00000	2	116	13	22	85	10	22	-2.72261	-inf	-2.74003
5.00000	1.00000	10	1.00000	3	126	17	26	88	13	26	-2.74001	-inf	-2.70873
5.00000	1.00000	10	1.00000	4	110	13	22	79	10	22	-2.70354	-inf	-2.80074
5.00000	1.00000	10	2.00000	0	125	15	23	92	11	23	-2.73128	-inf	-2.80932
5.00000	1.00000	10	2.00000	1	124	15	26	86	13	26	-2.75889	-inf	-2.67124
5.00000	1.00000	10	2.00000	2	116	13	22	85	10	22	-2.73255	-inf	-2.74908
5.00000	1.00000	10	2.00000	3	126	17	26	88	13	26	-2.75075	-inf	-2.71968
5.00000	1.00000	10	2.00000	4	110	13	22	79	10	22	-2.71349	-inf	-2.80372
5.00000	1.00000	50	0.10000	0	125	15	23	92	11	23	-2.71304	-inf	-2.82523
5.00000	1.00000	50	0.10000	1	124	15	26	86	13	26	-2.74594	-inf	-2.65865
5.00000	1.00000	50	0.10000	2	116	13	22	85	10	22	-2.71880	-inf	-2.74076
5.00000	1.00000	50	0.10000	3	121	15	24	86	12	24	-2.73652	-inf	-2.70979
5.00000	1.00000	50	0.10000	4	105	13	20	77	9	20	-2.70253	-inf	-2.80855
5.00000	1.00000	50	0.20000	0	125	15	23	92	11	23	-2.71254	-inf	-2.81805
5.00000	1.00000	50	0.20000	1	124	15	26	86	13	26	-2.74555	-inf	-2.65810
5.00000	1.00000	50	0.20000	2	116	13	22	85	10	22	-2.71865	-inf	-2.73892
5.00000	1.00000	50	0.20000	3	121	15	24	86	12	24	-2.73595	-inf	-2.70817
5.00000	1.00000	50	0.20000	4	105	13	20	77	9	20	-2.70232	-inf	-2.80569
5.00000	1.00000	50	0.50000	0	125	15	23	92	11	23	-2.71350	-inf	-2.80933
5.00000	1.00000	50	0.50000	1	124	15	26	86	13	26	-2.74594	-inf	-2.65811
5.00000	1.00000	50	0.50000	2	116	13	22	85	10	22	-2.71938	-inf	-2.73784
5.00000	1.00000	50	0.50000	3	121	15	24	86	12	24	-2.73651	-inf	-2.70720
5.00000	1.00000	50	0.50000	4	105	13	20	77	9	20	-2.70308	-inf	-2.80192
5.00000	1.00000	50	1.00000	0	125	15	23	92	11	23	-2.71808	-inf	-2.80561
5.00000	1.00000	50	1.00000	1	124	15	26	86	13	26	-2.74893	-inf	-2.66093
5.00000	1.00000	50	1.00000	2	116	13	22	85	10	22	-2.72261	-inf	-2.74003
5.00000	1.00000	50	1.00000	3	121	15	24	86	12	24	-2.74014	-inf	-2.70994
5.00000	1.00000	50	1.00000	4	105	13	20	77	9	20	-2.70624	-inf	-2.80054
5.00000	1.00000	50	2.00000	0	125	15	23	92	11	23	-2.73128	-inf	-2.80932
5.00000	1.00000	50	2.00000	1	124	15	26	86	13	26	-2.75889	-inf	-2.67124
5.00000	1.00000	50	2.00000	2	116	13	22	85	10	22	-2.73255	-inf	-2.74908
5.00000	1.00000	50	2.00000	3	121	15	24	86	12	24	-2.75106	-inf	-2.72079
5.00000	1.00000	50	2.00000	4	105	13	20	77	9	20	-2.71569	-inf	-2.80417
5.00000	1.00000	100	0.10000	0	112	11	19	85	9	19	-2.72809	-inf	-2.84095
5.00000	1.00000	100	0.10000	1	119	13	24	84	12	24	-2.75911	-inf	-2.66553
5.00000	1.00000	100	0.10000	2	105	11	18	80	8	18	-2.73616	-inf	-2.76721
5.00000	1.00000	100	0.10000	3	114	13	22	82	11	22	-2.74841	-inf	-2.71853
5.00000	1.00000	100	0.10000	4	100	11	18	75	8	18	-2.71865	-inf	-2.82223
5.00000	1.00000	100	0.20000	0	112	11	19	85	9	19	-2.72768	-inf	-2.83400
5.00000	1.00000	100	0.20000	1	119	13	24	84	12	24	-2.75885	-inf	-2.66506
5.00000	1.00000	100	0.20000	2	105	11	18	80	8	18	-2.73576	-inf	-2.76481
5.00000	1.00000	100	0.20000	3	114	13	22	82	11	22	-2.74798	-inf	-2.71762
5.00000	1.00000	100	0.20000	4	100	11	18	75	8	18	-2.71837	-inf	-2.81944
5.00000	1.00000	100	0.50000	0	112	11	19	85	9	19	-2.72840	-inf	-2.82512
5.00000	1.00000	100	0.50000	1	119	13	24	84	12	24	-2.75946	-inf	-2.66541
