parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/plant978/plant978.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	81	15	16	58	8	16	-2.53450	-inf	-2.60087
5.00000	1.00000	10	0.10000	1	67	11	14	47	7	14	-2.52750	-inf	-2.69047
5.00000	1.00000	10	0.10000	2	90	17	18	64	9	18	-2.50520	-inf	-2.58373
5.00000	1.00000	10	0.10000	3	81	15	16	58	8	16	-2.56062	-inf	-2.49987
5.00000	1.00000	10	0.10000	4	81	15	16	58	8	16	-2.56466	-inf	-2.47623
5.00000	1.00000	10	0.20000	0	81	15	16	58	8	16	-2.53840	-inf	-2.60107
5.00000	1.00000	10	0.20000	1	67	11	14	47	7	14	-2.52970	-inf	-2.67938
5.00000	1.00000	10	0.20000	2	90	17	18	64	9	18	-2.50928	-inf	-2.58678
5.00000	1.00000	10	0.20000	3	81	15	16	58	8	16	-2.56438	-inf	-2.50075
5.00000	1.00000	10	0.20000	4	81	15	16	58	8	16	-2.56828	-inf	-2.48073
5.00000	1.00000	10	0.50000	0	81	15	16	58	8	16	-2.55045	-inf	-2.60794
5.00000	1.00000	10	0.50000	1	67	11	14	47	7	14	-2.53761	-inf	-2.66841
5.00000	1.00000	10	0.50000	2	90	17	18	64	9	18	-2.52210	-inf	-2.59680
5.00000	1.00000	10	0.50000	3	81	15	16	58	8	16	-2.57607	-inf	-2.50952
5.00000	1.00000	10	0.50000	4	81	15	16	58	8	16	-2.57960	-inf	-2.49442
5.00000	1.00000	10	1.00000	0	81	15	16	58	8	16	-2.57126	-inf	-2.62440
5.00000	1.00000	10	1.00000	1	67	11	14	47	7	14	-2.55251	-inf	-2.66806
5.00000	1.00000	10	1.00000	2	90	17	18	64	9	18	-2.54466	-inf	-2.61543
5.00000	1.00000	10	1.00000	3	81	15	16	58	8	16	-2.59633	-inf	-2.52899
5.00000	1.00000	10	1.00000	4	81	15	16	58	8	16	-2.59937	-inf	-2.51751
5.00000	1.00000	10	2.00000	0	81	15	16	58	8	16	-2.61390	-inf	-2.66217
5.00000	1.00000	10	2.00000	1	67	11	14	47	7	14	-2.58448	-inf	-2.68410
5.00000	1.00000	10	2.00000	2	90	17	18	64	9	18	-2.59146	-inf	-2.65611
5.00000	1.00000	10	2.00000	3	81	15	16	58	8	16	-2.63791	-inf	-2.57187
