parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/scene/scene.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	44	9	12	27	6	12	-2.05095	-inf	-1.99454
5.00000	1.00000	10	0.10000	1	38	9	10	24	5	10	-2.02641	-inf	-2.10856
5.00000	1.00000	10	0.10000	2	39	9	10	25	5	10	-2.04807	-inf	-2.03108
5.00000	1.00000	10	0.10000	3	38	9	10	24	5	10	-2.04105	-inf	-2.04889
5.00000	1.00000	10	0.10000	4	39	9	10	25	5	10	-2.03788	-inf	-2.05908
5.00000	1.00000	10	0.20000	0	44	9	12	27	6	12	-2.05173	-inf	-1.99549
5.00000	1.00000	10	0.20000	1	38	9	10	24	5	10	-2.02724	-inf	-2.10774
5.00000	1.00000	10	0.20000	2	39	9	10	25	5	10	-2.04863	-inf	-2.03061
5.00000	1.00000	10	0.20000	3	38	9	10	24	5	10	-2.04175	-inf	-2.04965
5.00000	1.00000	10	0.20000	4	39	9	10	25	5	10	-2.03860	-inf	-2.05984
5.00000	1.00000	10	0.50000	0	44	9	12	27	6	12	-2.05416	-inf	-1.99835
5.00000	1.00000	10	0.50000	1	38	9	10	24	5	10	-2.02975	-inf	-2.10772
5.00000	1.00000	10	0.50000	2	39	9	10	25	5	10	-2.05086	-inf	-2.03161
5.00000	1.00000	10	0.50000	3	38	9	10	24	5	10	-2.04389	-inf	-2.05194
5.00000	1.00000	10	0.50000	4	39	9	10	25	5	10	-2.04087	-inf	-2.06218
5.00000	1.00000	10	1.00000	0	44	9	12	27	6	12	-2.05841	-inf	-2.00315
5.00000	1.00000	10	1.00000	1	38	9	10	24	5	10	-2.03397	-inf	-2.10953
5.00000	1.00000	10	1.00000	2	39	9	10	25	5	10	-2.05502	-inf	-2.03501
5.00000	1.00000	10	1.00000	3	38	9	10	24	5	10	-2.04760	-inf	-2.05583
5.00000	1.00000	10	1.00000	4	39	9	10	25	5	10	-2.04486	-inf	-2.06616
5.00000	1.00000	10	2.00000	0	44	9	12	27	6	12	-2.06728	-inf	-2.01283
5.00000	1.00000	10	2.00000	1	38	9	10	24	5	10	-2.04255	-inf	-2.11489
5.00000	1.00000	10	2.00000	2	39	9	10	25	5	10	-2.06375	-inf	-2.04322
5.00000	1.00000	10	2.00000	3	38	9	10	24	5	10	-2.05531	-inf	-2.06382
5.00000	1.00000	10	2.00000	4	39	9	10	25	5	10	-2.05326	-inf	-2.07435
5.00000	1.00000	50	0.10000	0	44	9	12	27	6	12	-2.05095	-inf	-1.99454
5.00000	1.00000	50	0.10000	1	38	9	10	24	5	10	-2.02641	-inf	-2.10856
5.00000	1.00000	50	0.10000	2	39	9	10	25	5	10	-2.04807	-inf	-2.03108
5.00000	1.00000	50	0.10000	3	38	9	10	24	5	10	-2.04105	-inf	-2.04889
5.00000	1.00000	50	0.10000	4	39	9	10	25	5	10	-2.03788	-inf	-2.05908
5.00000	1.00000	50	0.20000	0	44	9	12	27	6	12	-2.05173	-inf	-1.99549
5.00000	1.00000	50	0.20000	1	38	9	10	24	5	10	-2.02724	-inf	-2.10774
5.00000	1.00000	50	0.20000	2	39	9	10	25	5	10	-2.04863	-inf	-2.03061
5.00000	1.00000	50	0.20000	3	38	9	10	24	5	10	-2.04175	-inf	-2.04965
5.00000	1.00000	50	0.20000	4	39	9	10	25	5	10	-2.03860	-inf	-2.05984
5.00000	1.00000	50	0.50000	0	44	9	12	27	6	12	-2.05416	-inf	-1.99835
5.00000	1.00000	50	0.50000	1	38	9	10	24	5	10	-2.02975	-inf	-2.10772
5.00000	1.00000	50	0.50000	2	39	9	10	25	5	10	-2.05086	-inf	-2.03161
5.00000	1.00000	50	0.50000	3	38	9	10	24	5	10	-2.04389	-inf	-2.05194
5.00000	1.00000	50	0.50000	4	39	9	10	25	5	10	-2.04087	-inf	-2.06218
5.00000	1.00000	50	1.00000	0	44	9	12	27	6	12	-2.05841	-inf	-2.00315
5.00000	1.00000	50	1.00000	1	38	9	10	24	5	10	-2.03397	-inf	-2.10953
5.00000	1.00000	50	1.00000	2	39	9	10	25	5	10	-2.05502	-inf	-2.03501
5.00000	1.00000	50	1.00000	3	38	9	10	24	5	10	-2.04760	-inf	-2.05583
5.00000	1.00000	50	1.00000	4	39	9	10	25	5	10	-2.04486	-inf	-2.06616
5.00000	1.00000	50	2.00000	0	44	9	12	27	6	12	-2.06728	-inf	-2.01283
5.00000	1.00000	50	2.00000	1	38	9	10	24	5	10	-2.04255	-inf	-2.11489
5.00000	1.00000	50	2.00000	2	39	9	10	25	5	10	-2.06375	-inf	-2.04322
5.00000	1.00000	50	2.00000	3	38	9	10	24	5	10	-2.05531	-inf	-2.06382
5.00000	1.00000	50	2.00000	4	39	9	10	25	5	10	-2.05326	-inf	-2.07435
5.00000	1.00000	100	0.10000	0	44	9	12	27	6	12	-2.05095	-inf	-1.99454
5.00000	1.00000	100	0.10000	1	38	9	10	24	5	10	-2.02641	-inf	-2.10856
5.00000	1.00000	100	0.10000	2	39	9	10	25	5	10	-2.04807	-inf	-2.03108
5.00000	1.00000	100	0.10000	3	38	9	10	24	5	10	-2.04105	-inf	-2.04889
5.00000	1.00000	100	0.10000	4	39	9	10	25	5	10	-2.03788	-inf	-2.05908
5.00000	1.00000	100	0.20000	0	44	9	12	27	6	12	-2.05173	-inf	-1.99549
5.00000	1.00000	100	0.20000	1	38	9	10	24	5	10	-2.02724	-inf	-2.10774
5.00000	1.00000	100	0.20000	2	39	9	10	25	5	10	-2.04863	-inf	-2.03061
5.00000	1.00000	100	0.20000	3	38	9	10	24	5	10	-2.04175	-inf	-2.04965
5.00000	1.00000	100	0.20000	4	39	9	10	25	5	10	-2.03860	-inf	-2.05984
5.00000	1.00000	100	0.50000	0	44	9	12	27	6	12	-2.05416	-inf	-1.99835
