parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/yeast/yeast.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	407	15	99	262	47	99	-4.13550	-inf	-4.22717
5.00000	1.00000	10	0.10000	1	427	15	109	266	53	109	-4.11182	-inf	-4.26227
5.00000	1.00000	10	0.10000	2	360	15	94	220	47	94	-4.12582	-inf	-4.24673
5.00000	1.00000	10	0.10000	3	347	15	87	218	43	87	-4.14065	-inf	-4.29402
5.00000	1.00000	10	0.10000	4	371	13	89	240	43	89	-4.16508	-inf	-4.19701
5.00000	1.00000	10	0.20000	0	407	15	99	262	47	99	-4.14045	-inf	-4.23118
5.00000	1.00000	10	0.20000	1	427	15	109	266	53	109	-4.11806	-inf	-4.26088
5.00000	1.00000	10	0.20000	2	360	15	94	220	47	94	-4.13127	-inf	-4.24358
5.00000	1.00000	10	0.20000	3	347	15	87	218	43	87	-4.14509	-inf	-4.29022
5.00000	1.00000	10	0.20000	4	371	13	89	240	43	89	-4.17054	-inf	-4.19577
5.00000	1.00000	10	0.50000	0	407	15	99	262	47	99	-4.15886	-inf	-4.24846
5.00000	1.00000	10	0.50000	1	427	15	109	266	53	109	-4.13946	-inf	-4.26929
5.00000	1.00000	10	0.50000	2	360	15	94	220	47	94	-4.14839	-inf	-4.24747
5.00000	1.00000	10	0.50000	3	347	15	87	218	43	87	-4.16133	-inf	-4.29160
5.00000	1.00000	10	0.50000	4	371	13	89	240	43	89	-4.18799	-inf	-4.20413
5.00000	1.00000	10	1.00000	0	407	15	99	262	47	99	-4.19244	-inf	-4.28103
5.00000	1.00000	10	1.00000	1	427	15	109	266	53	109	-4.17686	-inf	-4.29414
5.00000	1.00000	10	1.00000	2	360	15	94	220	47	94	-4.17795	-inf	-4.26495
5.00000	1.00000	10	1.00000	3	347	15	87	218	43	87	-4.19086	-inf	-4.30596
5.00000	1.00000	10	1.00000	4	371	13	89	240	43	89	-4.21828	-inf	-4.22748
