parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/yeast/yeast.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	0	2076	19	375	1517	185	375	-21.81811	-inf	-22.95443
5.00000	1.00000	10	0.10000	1	2316	17	416	1697	204	416	-21.82181	-inf	-23.34121
5.00000	1.00000	10	0.10000	2	2267	19	408	1658	202	408	-21.91006	-inf	-22.91334
5.00000	1.00000	10	0.10000	3	2160	19	402	1562	197	402	-21.79761	-inf	-22.82088
5.00000	1.00000	10	0.10000	4	2256	17	425	1622	210	425	-21.82318	-inf	-23.04284
5.00000	1.00000	10	0.20000	0	2076	19	375	1517	185	375	-21.81353	-inf	-22.89403
5.00000	1.00000	10	0.20000	1	2316	17	416	1697	204	416	-21.81856	-inf	-23.24868
5.00000	1.00000	10	0.20000	2	2267	19	408	1658	202	408	-21.90501	-inf	-22.83992
5.00000	1.00000	10	0.20000	3	2160	19	402	1562	197	402	-21.78927	-inf	-22.73545
5.00000	1.00000	10	0.20000	4	2256	17	425	1622	210	425	-21.81513	-inf	-22.97069
5.00000	1.00000	10	0.50000	0	2076	19	375	1517	185	375	-21.82342	-inf	-22.81145
5.00000	1.00000	10	0.50000	1	2316	17	416	1697	204	416	-21.83405	-inf	-23.10908
5.00000	1.00000	10	0.50000	2	2267	19	408	1658	202	408	-21.91693	-inf	-22.73318
5.00000	1.00000	10	0.50000	3	2160	19	402	1562	197	402	-21.79250	-inf	-22.61561
5.00000	1.00000	10	0.50000	4	2256	17	425	1622	210	425	-21.82047	-inf	-22.86439
5.00000	1.00000	10	1.00000	0	2076	19	375	1517	185	375	-21.86963	-inf	-22.77388
5.00000	1.00000	10	1.00000	1	2316	17	416	1697	204	416	-21.89090	-inf	-23.01438
5.00000	1.00000	10	1.00000	2	2267	19	408	1658	202	408	-21.97121	-inf	-22.67122
5.00000	1.00000	10	1.00000	3	2160	19	402	1562	197	402	-21.83319	-inf	-22.54438
5.00000	1.00000	10	1.00000	4	2256	17	425	1622	210	425	-21.86627	-inf	-22.80087
5.00000	1.00000	10	2.00000	0	2076	19	375	1517	185	375	-22.00048	-inf	-22.81213
5.00000	1.00000	10	2.00000	1	2316	17	416	1697	204	416	-22.04178	-inf	-22.97862
5.00000	1.00000	10	2.00000	2	2267	19	408	1658	202	408	-22.12264	-inf	-22.68234
5.00000	1.00000	10	2.00000	3	2160	19	402	1562	197	402	-21.96049	-inf	-22.54128
5.00000	1.00000	10	2.00000	4	2256	17	425	1622	210	425	-22.00704	-inf	-22.80872
5.00000	1.00000	50	0.10000	0	1831	19	289	1400	143	289	-22.02617	-inf	-23.02404
5.00000	1.00000	50	0.10000	1	1929	17	288	1500	142	288	-22.13049	-inf	-23.29037
5.00000	1.00000	50	0.10000	2	1936	19	282	1516	139	282	-22.14314	-inf	-22.99320
5.00000	1.00000	50	0.10000	3	1909	17	316	1438	156	316	-22.00169	-inf	-22.86517
5.00000	1.00000	50	0.10000	4	2070	17	363	1528	180	363	-21.97741	-inf	-23.11772
5.00000	1.00000	50	0.20000	0	1831	19	289	1400	143	289	-22.01732	-inf	-22.97441
5.00000	1.00000	50	0.20000	1	1929	17	288	1500	142	288	-22.11892	-inf	-23.22110
5.00000	1.00000	50	0.20000	2	1936	19	282	1516	139	282	-22.13273	-inf	-22.92874
5.00000	1.00000	50	0.20000	3	1909	17	316	1438	156	316	-21.98814	-inf	-22.79126
5.00000	1.00000	50	0.20000	4	2070	17	363	1528	180	363	-21.96558	-inf	-23.05020
5.00000	1.00000	50	0.50000	0	1831	19	289	1400	143	289	-22.01473	-inf	-22.90697
5.00000	1.00000	50	0.50000	1	1929	17	288	1500	142	288	-22.11418	-inf	-23.11383
5.00000	1.00000	50	0.50000	2	1936	19	282	1516	139	282	-22.13149	-inf	-22.83440
5.00000	1.00000	50	0.50000	3	1909	17	316	1438	156	316	-21.97942	-inf	-22.68743
5.00000	1.00000	50	0.50000	4	2070	17	363	1528	180	363	-21.96220	-inf	-22.94595
5.00000	1.00000	50	1.00000	0	1831	19	289	1400	143	289	-22.04186	-inf	-22.87518
5.00000	1.00000	50	1.00000	1	1929	17	288	1500	142	288	-22.14219	-inf	-23.03683
5.00000	1.00000	50	1.00000	2	1936	19	282	1516	139	282	-22.16595	-inf	-22.77737
